alpha3,country,year,gdp_per_capita
ABW,Aruba,2024,45428.0
AFG,Afghanistan,2024,1964.45
AGO,Angola,2024,8752.8
ALB,Albania,2024,21640.98
AND,Andorra,2024,66232.74
ARE,United Arab Emirates,2024,69701.79
ARG,Argentina,2024,26771.97
ARM,Armenia,2024,20078.78
ATG,Antigua and Barbuda,2024,29298.65
AUS,Australia,2024,60309.58
AUT,Austria,2024,63787.99
AZE,Azerbaijan,2024,22090.53
BDI,Burundi,2024,1048.06
BEL,Belgium,2024,63311.28
BEN,Benin,2024,3901.33
BFA,Burkina Faso,2024,2548.5
BGD,Bangladesh,2024,8486.78
BGR,Bulgaria,2024,34221.39
BHR,Bahrain,2024,59060.18
BHS,"Bahamas, The",2024,36244.05
BIH,Bosnia and Herzegovina,2024,20578.5
BLR,Belarus,2024,29135.95
BLZ,Belize,2024,12621.41
BMU,Bermuda,2024,104299.94
BOL,Bolivia,2024,11329.15
BRA,Brazil,2024,19652.37
BRB,Barbados,2024,21557.53
BRN,Brunei Darussalam,2024,79071.73
BTN,Bhutan,2024,15603.89
BWA,Botswana,2024,18107.61
CAF,Central African Republic,2024,1111.22
CAN,Canada,2024,57534.09
CHE,Switzerland,2024,85448.06
CHL,Chile,2024,30267.64
CHN,China,2024,23841.48
CIV,Cote d'Ivoire,2024,6747.04
CMR,Cameroon,2024,4916.93
COD,"Congo, Dem. Rep.",2024,1601.71
COG,"Congo, Rep.",2024,6152.57
COL,Colombia,2024,18481.84
COM,Comoros,2024,3556.04
CPV,Cabo Verde,2024,9825.53
CRI,Costa Rica,2024,27325.05
CUW,Curacao,2024,28762.06
CYM,Cayman Islands,2024,80996.65
CYP,Cyprus,2024,52861.84
CZE,Czechia,2024,47972.53
DEU,Germany,2024,62654.6
DJI,Djibouti,2024,6871.12
DMA,Dominica,2024,18739.36
DNK,Denmark,2024,71034.58
DOM,Dominican Republic,2024,24229.89
DZA,Algeria,2024,15501.92
ECU,Ecuador,2024,13922.42
EGY,"Egypt, Arab Rep.",2024,16798.15
ESP,Spain,2024,48460.29
EST,Estonia,2024,41185.83
ETH,Ethiopia,2024,2892.22
FIN,Finland,2024,55901.32
FJI,Fiji,2024,13592.46
FRA,France,2024,54799.35
FRO,Faroe Islands,2024,72113.65
