alpha3,ssp,year,gdp_per_capita,turbulent_economy
ABW,SSP1,2024,45428.0,False
ABW,SSP1,2025,48918.89,False
ABW,SSP1,2030,50891.81,False
ABW,SSP1,2050,67582.66,False
ABW,SSP1,2100,144969.77,False
ABW,SSP2,2024,45428.0,False
ABW,SSP2,2025,48918.89,False
ABW,SSP2,2030,50859.17,False
ABW,SSP2,2050,64014.93,False
ABW,SSP2,2100,134864.04,False
ABW,SSP3,2024,45428.0,False
ABW,SSP3,2025,48918.89,False
ABW,SSP3,2030,51224.83,False
ABW,SSP3,2050,57630.35,False
ABW,SSP3,2100,71958.28,False
ABW,SSP4,2024,45428.0,False
ABW,SSP4,2025,48918.89,False
ABW,SSP4,2030,50816.22,False
ABW,SSP4,2050,65910.21,False
ABW,SSP4,2100,141921.29,False
ABW,SSP5,2024,45428.0,False
ABW,SSP5,2025,48918.89,False
ABW,SSP5,2030,50019.68,False
ABW,SSP5,2050,74441.05,False
ABW,SSP5,2100,229728.73,False
AFG,SSP1,2024,1964.45,True
AFG,SSP1,2025,1964.45,True
AFG,SSP1,2030,2706.53,True
AFG,SSP1,2050,11291.83,True
AFG,SSP1,2100,91596.58,True
AFG,SSP2,2024,1964.45,True
AFG,SSP2,2025,1964.45,True
AFG,SSP2,2030,2652.2,True
AFG,SSP2,2050,7967.52,True
AFG,SSP2,2100,59847.21,True
AFG,SSP3,2024,1964.45,True
AFG,SSP3,2025,1964.45,True
AFG,SSP3,2030,2585.13,True
AFG,SSP3,2050,4703.48,True
AFG,SSP3,2100,9578.7,True
AFG,SSP4,2024,1964.45,True
AFG,SSP4,2025,1964.45,True
AFG,SSP4,2030,2610.85,True
AFG,SSP4,2050,4898.7,True
AFG,SSP4,2100,10535.96,True
AFG,SSP5,2024,1964.45,True
AFG,SSP5,2025,1964.45,True
AFG,SSP5,2030,2743.37,True
AFG,SSP5,2050,15026.6,True
AFG,SSP5,2100,159221.16,True
AGO,SSP1,2024,8752.8,False
AGO,SSP1,2025,8693.95,False
AGO,SSP1,2030,9250.37,False
AGO,SSP1,2050,16397.97,False
AGO,SSP1,2100,91073.06,False
AGO,SSP2,2024,8752.8,False
AGO,SSP2,2025,8693.95,False
AGO,SSP2,2030,9079.1,False
AGO,SSP2,2050,13628.21,False
AGO,SSP2,2100,63212.13,False
AGO,SSP3,2024,8752.8,False
AGO,SSP3,2025,8693.95,False
AGO,SSP3,2030,8961.34,False
AGO,SSP3,2050,10657.02,False
AGO,SSP3,2100,19019.2,False
AGO,SSP4,2024,8752.8,False
AGO,SSP4,2025,8693.95,False
AGO,SSP4,2030,8949.65,False
AGO,SSP4,2050,11389.11,False
AGO,SSP4,2100,34909.75,False
AGO,SSP5,2024,8752.8,False
AGO,SSP5,2025,8693.95,False
AGO,SSP5,2030,9227.71,False
AGO,SSP5,2050,18979.74,False
AGO,SSP5,2100,150097.84,False
ALB,SSP1,2024,21640.98,False
ALB,SSP1,2025,22807.29,False
ALB,SSP1,2030,27874.65,False
ALB,SSP1,2050,55523.4,False
ALB,SSP1,2100,124060.45,False
ALB,SSP2,2024,21640.98,False
ALB,SSP2,2025,22807.29,False
ALB,SSP2,2030,27819.14,False
ALB,SSP2,2050,49960.13,False
ALB,SSP2,2100,113309.09,False
ALB,SSP3,2024,21640.98,False
ALB,SSP3,2025,22807.29,False
ALB,SSP3,2030,27200.07,False
ALB,SSP3,2050,38787.21,False
ALB,SSP3,2100,53487.45,False
ALB,SSP4,2024,21640.98,False
ALB,SSP4,2025,22807.29,False
ALB,SSP4,2030,27986.88,False
ALB,SSP4,2050,52932.81,False
ALB,SSP4,2100,115822.46,False
ALB,SSP5,2024,21640.98,False
ALB,SSP5,2025,22807.29,False
ALB,SSP5,2030,29036.71,False
ALB,SSP5,2050,71182.34,False
ALB,SSP5,2100,200770.33,False
ARE,SSP1,2024,69701.79,False
ARE,SSP1,2025,72173.94,False
ARE,SSP1,2030,85510.43,False
ARE,SSP1,2050,115209.34,False
ARE,SSP1,2100,139972.59,False
ARE,SSP2,2024,69701.79,False
ARE,SSP2,2025,72173.94,False
ARE,SSP2,2030,85113.66,False
ARE,SSP2,2050,111983.6,False
ARE,SSP2,2100,137049.55,False
ARE,SSP3,2024,69701.79,False
ARE,SSP3,2025,72173.94,False
ARE,SSP3,2030,85651.8,False
ARE,SSP3,2050,106386.97,False
ARE,SSP3,2100,90356.44,False
ARE,SSP4,2024,69701.79,False
ARE,SSP4,2025,72173.94,False
ARE,SSP4,2030,85094.12,False
ARE,SSP4,2050,114939.35,False
ARE,SSP4,2100,143277.18,False
ARE,SSP5,2024,69701.79,False
ARE,SSP5,2025,72173.94,False
ARE,SSP5,2030,84015.47,False
ARE,SSP5,2050,122547.27,False
ARE,SSP5,2100,219034.03,False
ARG,SSP1,2024,26771.97,False
ARG,SSP1,2025,27384.47,False
ARG,SSP1,2030,30392.53,False
ARG,SSP1,2050,48535.13,False
ARG,SSP1,2100,132350.91,False
ARG,SSP2,2024,26771.97,False
ARG,SSP2,2025,27384.47,False
ARG,SSP2,2030,30216.04,False
ARG,SSP2,2050,43789.05,False
ARG,SSP2,2100,120095.83,False
ARG,SSP3,2024,26771.97,False
ARG,SSP3,2025,27384.47,False
ARG,SSP3,2030,30042.62,False
ARG,SSP3,2050,37711.51,False
ARG,SSP3,2100,59811.97,False
ARG,SSP4,2024,26771.97,False
ARG,SSP4,2025,27384.47,False
ARG,SSP4,2030,30098.17,False
ARG,SSP4,2050,44343.15,False
ARG,SSP4,2100,128095.32,False
ARG,SSP5,2024,26771.97,False
ARG,SSP5,2025,27384.47,False
ARG,SSP5,2030,30465.41,False
ARG,SSP5,2050,55399.9,False
ARG,SSP5,2100,209613.73,False
ARM,SSP1,2024,20078.78,False
ARM,SSP1,2025,21546.69,False
ARM,SSP1,2030,27371.7,False
ARM,SSP1,2050,53078.12,False
ARM,SSP1,2100,110350.47,False
ARM,SSP2,2024,20078.78,False
ARM,SSP2,2025,21546.69,False
ARM,SSP2,2030,27334.37,False
ARM,SSP2,2050,49309.44,False
ARM,SSP2,2100,99995.78,False
ARM,SSP3,2024,20078.78,False
ARM,SSP3,2025,21546.69,False
ARM,SSP3,2030,26872.97,False
ARM,SSP3,2050,40847.6,False
ARM,SSP3,2100,55034.52,False
ARM,SSP4,2024,20078.78,False
ARM,SSP4,2025,21546.69,False
ARM,SSP4,2030,27497.26,False
ARM,SSP4,2050,51634.57,False
ARM,SSP4,2100,101653.7,False
ARM,SSP5,2024,20078.78,False
ARM,SSP5,2025,21546.69,False
ARM,SSP5,2030,28164.46,False
ARM,SSP5,2050,63909.86,False
ARM,SSP5,2100,172228.4,False
ATG,SSP1,2024,29298.65,False
ATG,SSP1,2025,30860.12,False
ATG,SSP1,2030,34735.81,False
ATG,SSP1,2050,61417.96,False
ATG,SSP1,2100,193052.14,False
ATG,SSP2,2024,29298.65,False
ATG,SSP2,2025,30860.12,False
ATG,SSP2,2030,34613.25,False
ATG,SSP2,2050,54661.32,False
ATG,SSP2,2100,165983.24,False
ATG,SSP3,2024,29298.65,False
ATG,SSP3,2025,30860.12,False
ATG,SSP3,2030,34690.32,False
ATG,SSP3,2050,45641.43,False
ATG,SSP3,2100,71403.56,False
ATG,SSP4,2024,29298.65,False
ATG,SSP4,2025,30860.12,False
ATG,SSP4,2030,34551.51,False
ATG,SSP4,2050,59237.5,False
ATG,SSP4,2100,186013.22,False
ATG,SSP5,2024,29298.65,False
ATG,SSP5,2025,30860.12,False
ATG,SSP5,2030,34363.55,False
ATG,SSP5,2050,69060.6,False
ATG,SSP5,2100,305998.58,False
AUS,SSP1,2024,60309.58,False
AUS,SSP1,2025,61539.09,False
AUS,SSP1,2030,67765.23,False
AUS,SSP1,2050,105203.59,False
AUS,SSP1,2100,199119.44,False
AUS,SSP2,2024,60309.58,False
AUS,SSP2,2025,61539.09,False
AUS,SSP2,2030,67610.25,False
AUS,SSP2,2050,95137.07,False
AUS,SSP2,2100,169794.42,False
AUS,SSP3,2024,60309.58,False
AUS,SSP3,2025,61539.09,False
AUS,SSP3,2030,67716.5,False
AUS,SSP3,2050,81488.86,False
AUS,SSP3,2100,89059.35,False
AUS,SSP4,2024,60309.58,False
AUS,SSP4,2025,61539.09,False
AUS,SSP4,2030,68133.46,False
AUS,SSP4,2050,105129.68,False
AUS,SSP4,2100,178616.92,False
AUS,SSP5,2024,60309.58,False
AUS,SSP5,2025,61539.09,False
AUS,SSP5,2030,66927.39,False
AUS,SSP5,2050,114408.19,False
AUS,SSP5,2100,304079.78,False
AUT,SSP1,2024,63787.99,False
AUT,SSP1,2025,64959.74,False
AUT,SSP1,2030,70973.65,False
AUT,SSP1,2050,92524.94,False
AUT,SSP1,2100,145911.61,False
AUT,SSP2,2024,63787.99,False
AUT,SSP2,2025,64959.74,False
AUT,SSP2,2030,70980.31,False
AUT,SSP2,2050,88573.59,False
AUT,SSP2,2100,134143.09,False
AUT,SSP3,2024,63787.99,False
AUT,SSP3,2025,64959.74,False
AUT,SSP3,2030,71113.62,False
AUT,SSP3,2050,79530.97,False
AUT,SSP3,2100,76279.46,False
AUT,SSP4,2024,63787.99,False
AUT,SSP4,2025,64959.74,False
AUT,SSP4,2030,71386.55,False
AUT,SSP4,2050,92116.22,False
AUT,SSP4,2100,131153.0,False
AUT,SSP5,2024,63787.99,False
AUT,SSP5,2025,64959.74,False
AUT,SSP5,2030,70358.01,False
AUT,SSP5,2050,100215.94,False
AUT,SSP5,2100,220939.55,False
AZE,SSP1,2024,22090.53,False
AZE,SSP1,2025,22776.7,False
AZE,SSP1,2030,25200.6,False
AZE,SSP1,2050,40419.81,False
AZE,SSP1,2100,126997.21,False
AZE,SSP2,2024,22090.53,False
AZE,SSP2,2025,22776.7,False
AZE,SSP2,2030,25166.31,False
AZE,SSP2,2050,35800.68,False
AZE,SSP2,2100,102349.54,False
AZE,SSP3,2024,22090.53,False
AZE,SSP3,2025,22776.7,False
AZE,SSP3,2030,25104.6,False
AZE,SSP3,2050,28966.44,False
AZE,SSP3,2100,34269.7,False
AZE,SSP4,2024,22090.53,False
AZE,SSP4,2025,22776.7,False
AZE,SSP4,2030,25365.25,False
AZE,SSP4,2050,38253.4,False
AZE,SSP4,2100,110702.63,False
AZE,SSP5,2024,22090.53,False
AZE,SSP5,2025,22776.7,False
AZE,SSP5,2030,25230.48,False
AZE,SSP5,2050,47371.63,False
AZE,SSP5,2100,206307.06,False
BDI,SSP1,2024,1048.06,False
BDI,SSP1,2025,1063.05,False
BDI,SSP1,2030,1274.05,False
BDI,SSP1,2050,3354.15,False
BDI,SSP1,2100,32648.48,False
BDI,SSP2,2024,1048.06,False
BDI,SSP2,2025,1063.05,False
BDI,SSP2,2030,1251.79,False
BDI,SSP2,2050,2626.12,False
BDI,SSP2,2100,20383.18,False
BDI,SSP3,2024,1048.06,False
BDI,SSP3,2025,1063.05,False
BDI,SSP3,2030,1232.11,False
BDI,SSP3,2050,1910.77,False
BDI,SSP3,2100,3559.19,False
BDI,SSP4,2024,1048.06,False
BDI,SSP4,2025,1063.05,False
BDI,SSP4,2030,1235.37,False
BDI,SSP4,2050,1952.69,False
BDI,SSP4,2100,3847.68,False
BDI,SSP5,2024,1048.06,False
BDI,SSP5,2025,1063.05,False
BDI,SSP5,2030,1280.96,False
BDI,SSP5,2050,4078.37,False
BDI,SSP5,2100,56106.39,False
BEL,SSP1,2024,63311.28,False
BEL,SSP1,2025,64896.85,False
BEL,SSP1,2030,69598.55,False
BEL,SSP1,2050,85602.53,False
BEL,SSP1,2100,128821.02,False
BEL,SSP2,2024,63311.28,False
BEL,SSP2,2025,64896.85,False
BEL,SSP2,2030,69654.38,False
BEL,SSP2,2050,83157.31,False
BEL,SSP2,2100,119550.56,False
BEL,SSP3,2024,63311.28,False
BEL,SSP3,2025,64896.85,False
BEL,SSP3,2030,69801.5,False
BEL,SSP3,2050,75067.28,False
BEL,SSP3,2100,66121.39,False
BEL,SSP4,2024,63311.28,False
BEL,SSP4,2025,64896.85,False
BEL,SSP4,2030,69995.61,False
BEL,SSP4,2050,84953.4,False
BEL,SSP4,2100,116015.17,False
BEL,SSP5,2024,63311.28,False
BEL,SSP5,2025,64896.85,False
BEL,SSP5,2030,69012.6,False
BEL,SSP5,2050,93051.01,False
BEL,SSP5,2100,197748.0,False
BEN,SSP1,2024,3901.33,False
BEN,SSP1,2025,4033.34,False
BEN,SSP1,2030,4902.5,False
BEN,SSP1,2050,11582.83,False
BEN,SSP1,2100,61819.24,False
BEN,SSP2,2024,3901.33,False
BEN,SSP2,2025,4033.34,False
BEN,SSP2,2030,4820.29,False
BEN,SSP2,2050,9755.19,False
BEN,SSP2,2100,46655.59,False
BEN,SSP3,2024,3901.33,False
BEN,SSP3,2025,4033.34,False
BEN,SSP3,2030,4749.38,False
BEN,SSP3,2050,7703.44,False
BEN,SSP3,2100,17093.98,False
BEN,SSP4,2024,3901.33,False
BEN,SSP4,2025,4033.34,False
BEN,SSP4,2030,4750.31,False
BEN,SSP4,2050,8345.29,False
BEN,SSP4,2100,30708.83,False
BEN,SSP5,2024,3901.33,False
BEN,SSP5,2025,4033.34,False
BEN,SSP5,2030,4908.19,False
BEN,SSP5,2050,13490.41,False
BEN,SSP5,2100,100791.6,False
BFA,SSP1,2024,2548.5,False
BFA,SSP1,2025,2607.4,False
BFA,SSP1,2030,3138.1,False
BFA,SSP1,2050,8125.95,False
BFA,SSP1,2100,52149.4,False
BFA,SSP2,2024,2548.5,False
BFA,SSP2,2025,2607.4,False
BFA,SSP2,2030,3074.27,False
BFA,SSP2,2050,6676.98,False
BFA,SSP2,2100,36877.11,False
BFA,SSP3,2024,2548.5,False
BFA,SSP3,2025,2607.4,False
BFA,SSP3,2030,3023.38,False
BFA,SSP3,2050,5123.39,False
BFA,SSP3,2100,11005.03,False
BFA,SSP4,2024,2548.5,False
BFA,SSP4,2025,2607.4,False
BFA,SSP4,2030,3027.65,False
BFA,SSP4,2050,5251.84,False
BFA,SSP4,2100,12684.1,False
BFA,SSP5,2024,2548.5,False
BFA,SSP5,2025,2607.4,False
BFA,SSP5,2030,3148.98,False
BFA,SSP5,2050,9595.4,False
BFA,SSP5,2100,86396.9,False
BGD,SSP1,2024,8486.78,False
BGD,SSP1,2025,8945.34,False
BGD,SSP1,2030,12129.87,False
BGD,SSP1,2050,31656.44,False
BGD,SSP1,2100,97979.51,False
BGD,SSP2,2024,8486.78,False
BGD,SSP2,2025,8945.34,False
BGD,SSP2,2030,12025.68,False
BGD,SSP2,2050,26679.46,False
BGD,SSP2,2100,82802.16,False
BGD,SSP3,2024,8486.78,False
BGD,SSP3,2025,8945.34,False
BGD,SSP3,2030,11892.03,False
BGD,SSP3,2050,20298.83,False
BGD,SSP3,2100,30509.21,False
BGD,SSP4,2024,8486.78,False
BGD,SSP4,2025,8945.34,False
BGD,SSP4,2030,11934.61,False
BGD,SSP4,2050,22759.1,False
BGD,SSP4,2100,55335.29,False
BGD,SSP5,2024,8486.78,False
BGD,SSP5,2025,8945.34,False
BGD,SSP5,2030,12235.79,False
BGD,SSP5,2050,38180.76,False
BGD,SSP5,2100,157721.8,False
BGR,SSP1,2024,34221.39,False
BGR,SSP1,2025,35859.22,False
BGR,SSP1,2030,42708.19,False
BGR,SSP1,2050,72444.07,False
BGR,SSP1,2100,148634.58,False
BGR,SSP2,2024,34221.39,False
BGR,SSP2,2025,35859.22,False
BGR,SSP2,2030,42741.88,False
BGR,SSP2,2050,67202.01,False
BGR,SSP2,2100,134369.66,False
BGR,SSP3,2024,34221.39,False
BGR,SSP3,2025,35859.22,False
BGR,SSP3,2030,42603.38,False
BGR,SSP3,2050,56871.63,False
BGR,SSP3,2100,70536.4,False
BGR,SSP4,2024,34221.39,False
BGR,SSP4,2025,35859.22,False
BGR,SSP4,2030,42941.77,False
BGR,SSP4,2050,70265.65,False
BGR,SSP4,2100,136571.13,False
BGR,SSP5,2024,34221.39,False
BGR,SSP5,2025,35859.22,False
BGR,SSP5,2030,42979.13,False
BGR,SSP5,2050,83195.91,False
BGR,SSP5,2100,230636.98,False
BHR,SSP1,2024,59060.18,False
BHR,SSP1,2025,60053.03,False
BHR,SSP1,2030,64416.03,False
BHR,SSP1,2050,82756.25,False
BHR,SSP1,2100,148157.51,False
BHR,SSP2,2024,59060.18,False
BHR,SSP2,2025,60053.03,False
BHR,SSP2,2030,64251.65,False
BHR,SSP2,2050,78938.99,False
BHR,SSP2,2100,134473.33,False
BHR,SSP3,2024,59060.18,False
BHR,SSP3,2025,60053.03,False
BHR,SSP3,2030,64879.46,False
BHR,SSP3,2050,72830.52,False
BHR,SSP3,2100,74962.09,False
BHR,SSP4,2024,59060.18,False
BHR,SSP4,2025,60053.03,False
BHR,SSP4,2030,64057.7,False
BHR,SSP4,2050,81691.19,False
BHR,SSP4,2100,149439.74,False
BHR,SSP5,2024,59060.18,False
BHR,SSP5,2025,60053.03,False
BHR,SSP5,2030,62801.44,False
BHR,SSP5,2050,91040.27,False
BHR,SSP5,2100,236573.2,False
BHS,SSP1,2024,36244.05,False
BHS,SSP1,2025,38823.75,False
BHS,SSP1,2030,41214.46,False
BHS,SSP1,2050,56914.75,False
BHS,SSP1,2100,119125.59,False
BHS,SSP2,2024,36244.05,False
BHS,SSP2,2025,38823.75,False
BHS,SSP2,2030,41059.77,False
BHS,SSP2,2050,52249.48,False
BHS,SSP2,2100,107659.16,False
BHS,SSP3,2024,36244.05,False
BHS,SSP3,2025,38823.75,False
BHS,SSP3,2030,41016.18,False
BHS,SSP3,2050,45485.27,False
BHS,SSP3,2100,54040.51,False
BHS,SSP4,2024,36244.05,False
BHS,SSP4,2025,38823.75,False
BHS,SSP4,2030,40930.29,False
BHS,SSP4,2050,54580.36,False
BHS,SSP4,2100,115627.99,False
BHS,SSP5,2024,36244.05,False
BHS,SSP5,2025,38823.75,False
BHS,SSP5,2030,40985.96,False
BHS,SSP5,2050,63437.21,False
BHS,SSP5,2100,187333.86,False
BIH,SSP1,2024,20578.5,False
BIH,SSP1,2025,21588.36,False
BIH,SSP1,2030,26026.95,False
BIH,SSP1,2050,41640.1,False
BIH,SSP1,2100,67210.05,False
BIH,SSP2,2024,20578.5,False
BIH,SSP2,2025,21588.36,False
BIH,SSP2,2030,26042.2,False
BIH,SSP2,2050,39881.19,False
BIH,SSP2,2100,64233.54,False
BIH,SSP3,2024,20578.5,False
BIH,SSP3,2025,21588.36,False
BIH,SSP3,2030,25686.53,False
BIH,SSP3,2050,34470.19,False
BIH,SSP3,2100,38347.7,False
BIH,SSP4,2024,20578.5,False
BIH,SSP4,2025,21588.36,False
BIH,SSP4,2030,26171.3,False
BIH,SSP4,2050,41074.35,False
BIH,SSP4,2100,63735.8,False
BIH,SSP5,2024,20578.5,False
BIH,SSP5,2025,21588.36,False
BIH,SSP5,2030,26751.27,False
BIH,SSP5,2050,49715.18,False
BIH,SSP5,2100,104683.36,False
BLR,SSP1,2024,29135.95,False
BLR,SSP1,2025,29419.54,False
BLR,SSP1,2030,31114.08,False
BLR,SSP1,2050,45481.81,False
BLR,SSP1,2100,123388.54,False
BLR,SSP2,2024,29135.95,False
BLR,SSP2,2025,29419.54,False
BLR,SSP2,2030,31178.36,False
BLR,SSP2,2050,41412.89,False
BLR,SSP2,2100,102419.99,False
BLR,SSP3,2024,29135.95,False
BLR,SSP3,2025,29419.54,False
BLR,SSP3,2030,31206.19,False
BLR,SSP3,2050,35159.16,False
BLR,SSP3,2100,41489.83,False
BLR,SSP4,2024,29135.95,False
BLR,SSP4,2025,29419.54,False
BLR,SSP4,2030,31309.51,False
BLR,SSP4,2050,43824.24,False
BLR,SSP4,2100,109486.97,False
BLR,SSP5,2024,29135.95,False
BLR,SSP5,2025,29419.54,False
BLR,SSP5,2030,31059.56,False
BLR,SSP5,2050,51860.03,False
BLR,SSP5,2100,195659.7,False
BLZ,SSP1,2024,12621.41,False
BLZ,SSP1,2025,13344.28,False
BLZ,SSP1,2030,14338.24,False
BLZ,SSP1,2050,28530.56,False
BLZ,SSP1,2100,118144.26,False
BLZ,SSP2,2024,12621.41,False
BLZ,SSP2,2025,13344.28,False
BLZ,SSP2,2030,14241.76,False
BLZ,SSP2,2050,24951.9,False
BLZ,SSP2,2100,101133.64,False
BLZ,SSP3,2024,12621.41,False
BLZ,SSP3,2025,13344.28,False
BLZ,SSP3,2030,14177.73,False
BLZ,SSP3,2050,19875.9,False
BLZ,SSP3,2100,37183.8,False
BLZ,SSP4,2024,12621.41,False
BLZ,SSP4,2025,13344.28,False
BLZ,SSP4,2030,14144.94,False
BLZ,SSP4,2050,25708.68,False
BLZ,SSP4,2100,108619.4,False
BLZ,SSP5,2024,12621.41,False
BLZ,SSP5,2025,13344.28,False
BLZ,SSP5,2030,14268.67,False
BLZ,SSP5,2050,33573.07,False
BLZ,SSP5,2100,194014.62,False
BOL,SSP1,2024,11329.15,False
BOL,SSP1,2025,11530.28,False
BOL,SSP1,2030,12253.22,False
BOL,SSP1,2050,24555.05,False
BOL,SSP1,2100,119096.12,False
BOL,SSP2,2024,11329.15,False
BOL,SSP2,2025,11530.28,False
BOL,SSP2,2030,12143.2,False
BOL,SSP2,2050,20666.88,False
BOL,SSP2,2100,90296.2,False
BOL,SSP3,2024,11329.15,False
BOL,SSP3,2025,11530.28,False
BOL,SSP3,2030,12014.02,False
BOL,SSP3,2050,16042.8,False
