alpha3,hdi
AFG,0.462
ALB,0.789
DZA,0.745
AND,0.884
AGO,0.591
ATG,0.826
ARG,0.849
ARM,0.786
AUS,0.946
AUT,0.926
AZE,0.76
BHS,0.82
BHR,0.888
BGD,0.67
BRB,0.809
BLR,0.801
BEL,0.942
BLZ,0.7
BEN,0.504
BTN,0.681
BOL,0.698
BIH,0.779
BWA,0.708
BRA,0.76
BRN,0.823
BGR,0.799
BFA,0.438
BDI,0.42
KHM,0.6
CMR,0.587
CAN,0.935
CPV,0.661
CAF,0.387
TCD,0.394
CHL,0.86
CHN,0.788
COL,0.758
COM,0.586
COG,0.593
CRI,0.806
CIV,0.534
HRV,0.878
CUB,0.764
CYP,0.907
CZE,0.895
COD,0.481
DNK,0.952
DJI,0.515
DMA,0.74
DOM,0.766
TLS,0.566
ECU,0.765
EGY,0.728
SLV,0.674
GNQ,0.65
ERI,0.493
EST,0.899
SWZ,0.61
ETH,0.492
FJI,0.729
FIN,0.942
FRA,0.91
GAB,0.693
GMB,0.495
GEO,0.814
DEU,0.95
GHA,0.602
GRC,0.893
GRD,0.793
GTM,0.629
GIN,0.471
GNB,0.483
GUY,0.742
HTI,0.552
HND,0.624
HKG,0.956
HUN,0.851
ISL,0.959
IND,0.644
IDN,0.713
IRN,0.78
IRQ,0.673
IRL,0.95
ISR,0.915
ITA,0.906
JAM,0.706
JPN,0.92
JOR,0.736
KAZ,0.802
KEN,0.601
KIR,0.628
KWT,0.847
KGZ,0.701
LAO,0.62
LVA,0.879
LBN,0.723
LSO,0.521
LBR,0.487
LBY,0.746
LIE,0.942
LTU,0.879
LUX,0.927
MDG,0.487
MWI,0.508
MYS,0.807
MDV,0.762
MLI,0.41
MLT,0.915
MHL,0.731
MRT,0.54
MUS,0.796
MEX,0.781
FSM,0.634
MDA,0.763
MNG,0.741
MNE,0.844
MAR,0.698
MOZ,0.461
MMR,0.608
NAM,0.61
NRU,0.696
NPL,0.601
NLD,0.946
NZL,0.939
NIC,0.669
NER,0.394
NGA,0.548
MKD,0.765
NOR,0.966
OMN,0.819
PAK,0.54
PLW,0.797
PSE,0.716
PAN,0.82
PNG,0.568
PRY,0.731
PER,0.762
PHL,0.71
POL,0.881
PRT,0.874
QAT,0.875
ROU,0.827
RUS,0.821
RWA,0.548
KNA,0.838
LCA,0.725
VCT,0.772
WSM,0.702
SMR,0.867
STP,0.613
SAU,0.875
SEN,0.517
SRB,0.805
SYC,0.802
SLE,0.458
SGP,0.949
SVK,0.855
SVN,0.926
SLB,0.562
SOM,0.38
ZAF,0.717
KOR,0.929
SSD,0.381
ESP,0.911
LKA,0.78
SDN,0.516
SUR,0.69
SWE,0.952
CHE,0.967
SYR,0.557
TJK,0.679
TZA,0.532
THA,0.803
TGO,0.547
TON,0.739
TTO,0.814
TUN,0.732
TUR,0.855
TKM,0.744
TUV,0.653
UGA,0.55
UKR,0.734
ARE,0.937
GBR,0.94
USA,0.927
URY,0.83
UZB,0.727
VUT,0.614
VEN,0.699
VNM,0.726
YEM,0.424
ZMB,0.569
ZWE,0.55
