alpha3,scenario,2025,2030,2050,2100
DZA,SSP1,0.718,0.735,0.793,0.865
ARG,SSP1,0.782,0.794,0.828,0.871
ARM,SSP1,0.752,0.768,0.787,0.805
AUS,SSP1,0.897,0.906,0.926,0.931
AUT,SSP1,0.864,0.87,0.886,0.891
AZE,SSP1,0.757,0.763,0.782,0.796
BHS,SSP1,0.782,0.794,0.823,0.857
BHR,SSP1,0.8,0.811,0.839,0.865
BGD,SSP1,0.567,0.592,0.678,0.838
BLR,SSP1,0.77,0.779,0.798,0.817
BEL,SSP1,0.882,0.894,0.919,0.933
BLZ,SSP1,0.679,0.697,0.745,0.822
BEN,SSP1,0.483,0.517,0.629,0.831
BTN,SSP1,0.655,0.685,0.766,0.897
BOL,SSP1,0.661,0.68,0.746,0.836
BIH,SSP1,0.785,0.801,0.836,0.88
BRA,SSP1,0.709,0.725,0.777,0.842
BGR,SSP1,0.774,0.784,0.81,0.837
BFA,SSP1,0.428,0.462,0.581,0.816
BDI,SSP1,0.412,0.445,0.558,0.797
CPV,SSP1,0.632,0.648,0.704,0.805
KHM,SSP1,0.582,0.615,0.701,0.835
CMR,SSP1,0.554,0.583,0.679,0.844
CAN,SSP1,0.89,0.897,0.911,0.909
CAF,SSP1,0.454,0.486,0.598,0.809
TCD,SSP1,0.423,0.453,0.569,0.792
CHL,SSP1,0.805,0.818,0.85,0.881
CHN,SSP1,0.738,0.756,0.797,0.849
COL,SSP1,0.724,0.74,0.79,0.849
COM,SSP1,0.5,0.529,0.63,0.802
COG,SSP1,0.628,0.659,0.731,0.848
CRI,SSP1,0.739,0.75,0.783,0.834
HRV,SSP1,0.798,0.808,0.831,0.854
CUB,SSP1,0.748,0.759,0.786,0.817
CYP,SSP1,0.871,0.882,0.903,0.912
CZE,SSP1,0.829,0.835,0.855,0.871
CIV,SSP1,0.504,0.537,0.654,0.852
COD,SSP1,0.53,0.584,0.694,0.866
DNK,SSP1,0.841,0.846,0.863,0.872
DOM,SSP1,0.733,0.748,0.79,0.839
ECU,SSP1,0.739,0.758,0.809,0.871
EGY,SSP1,0.697,0.718,0.78,0.858
SLV,SSP1,0.677,0.696,0.76,0.849
GNQ,SSP1,0.67,0.686,0.743,0.826
EST,SSP1,0.812,0.82,0.836,0.848
SWZ,SSP1,0.606,0.634,0.711,0.833
ETH,SSP1,0.487,0.517,0.622,0.822
FIN,SSP1,0.874,0.88,0.891,0.886
FRA,SSP1,0.865,0.878,0.908,0.931
GAB,SSP1,0.677,0.693,0.745,0.828
GMB,SSP1,0.561,0.59,0.675,0.816
GEO,SSP1,0.824,0.84,0.851,0.867
DEU,SSP1,0.881,0.885,0.899,0.906
GHA,SSP1,0.588,0.615,0.711,0.864
GRC,SSP1,0.832,0.845,0.879,0.908
GTM,SSP1,0.622,0.644,0.704,0.797
GIN,SSP1,0.453,0.491,0.624,0.843
GNB,SSP1,0.458,0.488,0.592,0.785
GUY,SSP1,0.645,0.661,0.714,0.788
HTI,SSP1,0.553,0.591,0.696,0.863
HND,SSP1,0.629,0.649,0.711,0.81
HKG,SSP1,0.896,0.906,0.932,0.948
HUN,SSP1,0.792,0.802,0.826,0.849
ISL,SSP1,0.893,0.904,0.933,0.959
IND,SSP1,0.664,0.695,0.766,0.854
IDN,SSP1,0.696,0.721,0.781,0.86
IRN,SSP1,0.733,0.748,0.797,0.863
IRQ,SSP1,0.721,0.748,0.792,0.85
IRL,SSP1,0.882,0.892,0.915,0.927
ISR,SSP1,0.824,0.828,0.844,0.85
ITA,SSP1,0.849,0.865,0.898,0.932
JAM,SSP1,0.723,0.743,0.781,0.825
JPN,SSP1,0.88,0.886,0.902,0.907
JOR,SSP1,0.749,0.769,0.809,0.853
KAZ,SSP1,0.756,0.766,0.788,0.813
KEN,SSP1,0.592,0.625,0.712,0.838
KWT,SSP1,0.793,0.799,0.824,0.862
KGZ,SSP1,0.721,0.752,0.787,0.827
LAO,SSP1,0.574,0.592,0.652,0.76
LVA,SSP1,0.809,0.82,0.836,0.851
LBN,SSP1,0.76,0.772,0.808,0.852
LSO,SSP1,0.516,0.541,0.639,0.813
LBR,SSP1,0.418,0.462,0.596,0.838
LTU,SSP1,0.821,0.83,0.843,0.851
LUX,SSP1,0.898,0.908,0.934,0.951
MDG,SSP1,0.469,0.497,0.589,0.769
MWI,SSP1,0.49,0.524,0.633,0.824
MYS,SSP1,0.793,0.808,0.849,0.888
MDV,SSP1,0.7,0.719,0.78,0.883
MLI,SSP1,0.413,0.452,0.583,0.803
MLT,SSP1,0.844,0.86,0.897,0.935
MUS,SSP1,0.71,0.723,0.776,0.872
MEX,SSP1,0.763,0.78,0.825,0.882
MDA,SSP1,0.747,0.774,0.809,0.848
MNG,SSP1,0.665,0.681,0.728,0.793
MAR,SSP1,0.623,0.647,0.727,0.86
MOZ,SSP1,0.44,0.477,0.59,0.805
NAM,SSP1,0.67,0.691,0.753,0.834
NPL,SSP1,0.547,0.577,0.685,0.854
NLD,SSP1,0.866,0.875,0.896,0.912
NZL,SSP1,0.871,0.878,0.897,0.907
NIC,SSP1,0.613,0.636,0.71,0.835
NER,SSP1,0.373,0.411,0.536,0.776
NGA,SSP1,0.586,0.616,0.703,0.835
MKD,SSP1,0.781,0.801,0.842,0.892
NOR,SSP1,0.904,0.912,0.93,0.936
PAK,SSP1,0.561,0.588,0.681,0.835
PAN,SSP1,0.783,0.794,0.828,0.865
PRY,SSP1,0.679,0.701,0.766,0.86
PER,SSP1,0.748,0.761,0.795,0.829
PHL,SSP1,0.665,0.684,0.74,0.809
POL,SSP1,0.827,0.836,0.854,0.867
PRT,SSP1,0.79,0.811,0.865,0.928
ROU,SSP1,0.784,0.798,0.824,0.852
RUS,SSP1,0.75,0.76,0.783,0.813
RWA,SSP1,0.482,0.505,0.597,0.781
LCA,SSP1,0.735,0.747,0.786,0.836
VCT,SSP1,0.757,0.769,0.803,0.852
WSM,SSP1,0.699,0.719,0.772,0.839
STP,SSP1,0.507,0.525,0.592,0.73
SAU,SSP1,0.788,0.797,0.827,0.852
SEN,SSP1,0.508,0.537,0.632,0.812
SRB,SSP1,0.778,0.794,0.821,0.85
SLE,SSP1,0.449,0.481,0.588,0.79
SGP,SSP1,0.864,0.868,0.877,0.864
SVK,SSP1,0.82,0.825,0.844,0.864
SVN,SSP1,0.832,0.837,0.856,0.875
ZAF,SSP1,0.669,0.688,0.746,0.823
KOR,SSP1,0.857,0.862,0.877,0.885
ESP,SSP1,0.836,0.85,0.884,0.921
SDN,SSP1,0.51,0.541,0.623,0.776
SUR,SSP1,0.728,0.743,0.785,0.842
SWE,SSP1,0.886,0.895,0.914,0.92
CHE,SSP1,0.89,0.895,0.91,0.916
SYR,SSP1,0.667,0.689,0.749,0.846
TJK,SSP1,0.723,0.753,0.791,0.836
TZA,SSP1,0.554,0.574,0.651,0.794
THA,SSP1,0.717,0.734,0.787,0.856
TLS,SSP1,0.667,0.705,0.788,0.9
TON,SSP1,0.689,0.704,0.748,0.802
TTO,SSP1,0.741,0.741,0.764,0.793
TUN,SSP1,0.732,0.749,0.815,0.898
TUR,SSP1,0.732,0.749,0.797,0.871
TKM,SSP1,0.716,0.73,0.753,0.779
UGA,SSP1,0.521,0.549,0.647,0.815
UKR,SSP1,0.733,0.752,0.783,0.825
GBR,SSP1,0.867,0.881,0.916,0.951
USA,SSP1,0.864,0.87,0.884,0.89
URY,SSP1,0.766,0.78,0.814,0.866
VUT,SSP1,0.643,0.665,0.724,0.819
VEN,SSP1,0.764,0.781,0.815,0.856
VNM,SSP1,0.694,0.717,0.766,0.849
ZMB,SSP1,0.532,0.555,0.638,0.78
ZWE,SSP1,0.492,0.551,0.703,0.939
DZA,SSP2,0.705,0.72,0.772,0.853
ARG,SSP2,0.769,0.779,0.808,0.862
ARM,SSP2,0.74,0.755,0.772,0.798
AUS,SSP2,0.894,0.903,0.922,0.94
AUT,SSP2,0.862,0.867,0.882,0.898
AZE,SSP2,0.743,0.746,0.759,0.775
BHS,SSP2,0.762,0.772,0.796,0.839
BHR,SSP2,0.789,0.798,0.824,0.861
BGD,SSP2,0.534,0.552,0.619,0.767
BLR,SSP2,0.762,0.769,0.786,0.812
BEL,SSP2,0.88,0.892,0.916,0.942
BLZ,SSP2,0.639,0.654,0.699,0.793
BEN,SSP2,0.426,0.447,0.524,0.698
BTN,SSP2,0.636,0.666,0.738,0.879
BOL,SSP2,0.639,0.654,0.71,0.81
BIH,SSP2,0.777,0.791,0.824,0.875
BRA,SSP2,0.696,0.71,0.754,0.831
BGR,SSP2,0.766,0.775,0.797,0.831
BFA,SSP2,0.355,0.377,0.463,0.674
BDI,SSP2,0.352,0.374,0.446,0.638
CPV,SSP2,0.597,0.608,0.648,0.742
