alpha3,lon,lat,capacity,treatment_type
LTU,22.726,56.247,1060,tertiary
LTU,24.056,54.432,87900,tertiary
LTU,25.073,55.509,12400,tertiary
LTU,23.484,55.252,2500,secondary
LTU,23.741,55.644,1200,secondary
LTU,24.062,54.623,12400,tertiary
LTU,24.745,56.17,14400,tertiary
LTU,24.01,54.048,16800,tertiary
LTU,24.988,54.175,1500,tertiary
LTU,24.627,54.771,11400,tertiary
LTU,22.961,55.085,440,secondary
LTU,26.166,55.327,3600,tertiary
LTU,24.254,55.066,26100,tertiary
LTU,23.629,56.256,8100,tertiary
LTU,21.128,55.556,1300,secondary
LTU,22.754,55.066,11400,tertiary
LTU,24.446,54.872,17300,tertiary
LTU,23.225,54.409,2620,secondary
LTU,23.851,54.905,246500,tertiary
LTU,23.452,54.753,2100,tertiary
LTU,23.95,55.265,38600,tertiary
LTU,22.953,55.625,5000,tertiary
RUS,22.753,54.647,1230,secondary
LTU,21.264,55.644,189000,tertiary
LTU,21.204,55.868,26400,tertiary
LTU,22.858,54.779,550,secondary
LTU,24.941,55.835,1450,tertiary
LTU,22.909,55.979,9000,tertiary
LTU,23.523,54.238,3800,tertiary
LTU,23.356,54.587,97000,tertiary
LTU,22.154,56.403,55000,tertiary
LTU,25.384,55.222,3800,tertiary
LTU,22.935,56.397,9500,tertiary
LTU,25.441,54.858,4500,secondary
LTU,25.358,54.629,760,secondary
LTU,21.036,55.322,2970,secondary
LTU,25.728,54.966,1150,tertiary
LTU,21.9,55.132,820,tertiary
LTU,23.841,56.012,2800,tertiary
LTU,21.067,56.06,19000,tertiary
LTU,24.212,55.713,331000,tertiary
LTU,24.429,56.075,44500,tertiary
LTU,21.812,55.88,24100,tertiary
LTU,24.219,54.92,9000,tertiary
LTU,23.548,55.844,8800,tertiary
LTU,23.111,55.374,9800,tertiary
LTU,23.772,54.931,1100,tertiary
LTU,21.937,55.716,2900,tertiary
LTU,25.552,55.958,14600,tertiary
LTU,24.383,55.057,3100,tertiary
LTU,23.005,54.952,6700,tertiary
LTU,25.394,54.295,9500,tertiary
LTU,23.773,55.751,1250,secondary
LTU,23.281,56.012,110000,tertiary
LTU,22.159,55.48,7280,tertiary
LTU,21.435,55.339,46000,tertiary
LTU,24.939,55.053,3400,tertiary
LTU,25.379,54.611,1600,secondary
LTU,21.512,56.277,3400,tertiary
LTU,25.975,55.122,6000,tertiary
LTU,26.156,55.12,4670,secondary
LTU,22.256,55.22,27000,tertiary
LTU,22.255,56.008,58000,tertiary
LTU,25.048,54.664,11000,tertiary
LTU,24.736,55.228,25000,tertiary
LTU,25.579,55.521,95000,tertiary
LTU,24.554,54.219,11000,tertiary
LTU,23.708,54.092,500,secondary
LTU,22.669,56.194,1500,tertiary
LTU,23.017,54.659,6200,tertiary
LTU,23.543,55.045,750,secondary
LTU,25.161,54.679,680000,tertiary
LTU,26.554,55.587,14000,tertiary
LTU,26.289,55.738,3400,tertiary
LTU,24.431,54.802,3760,secondary
EST,23.558,58.945,10700,tertiary
EST,26.996,57.86,11417,tertiary
EST,24.773,58.996,5100,tertiary
EST,25.547,58.869,19935,tertiary
EST,25.954,59.275,5242,tertiary
EST,26.346,59.368,42482,tertiary
EST,26.076,57.797,11589,tertiary
EST,24.983,59.475,0,secondary
EST,27.744,59.407,17372,tertiary
EST,28.183,59.402,51815,tertiary
EST,25.338,59.346,2020,tertiary
EST,27.445,59.327,0,tertiary
EST,24.452,58.387,58300,tertiary
EST,22.497,58.22,28370,tertiary
EST,24.669,59.48,470612,tertiary
EST,27.2,59.467,172113,tertiary
EST,27.07,58.071,40468,tertiary
EST,25.634,58.635,18950,tertiary
EST,24.434,59.316,15200,tertiary
EST,26.523,59.509,1151,tertiary
EST,25.937,58.014,773,secondary
EST,25.934,57.989,601,secondary
EST,24.742,59.183,3700,tertiary
EST,26.04,59.165,620,tertiary
EST,24.947,58.158,1162,tertiary
EST,25.023,58.645,1210,tertiary
EST,26.486,58.071,2200,tertiary
EST,26.394,58.737,3600,tertiary
EST,22.764,59.004,2700,tertiary
EST,22.822,58.988,0,secondary
EST,26.127,59.342,1548,tertiary
EST,26.749,58.341,95959,tertiary
EST,26.211,59.117,2960,tertiary
EST,24.062,59.342,4373,tertiary
EST,27.47,58.091,3075,tertiary
EST,25.164,59.193,1080,tertiary
EST,24.406,58.902,2721,tertiary
EST,25.413,58.786,5400,tertiary
EST,24.946,59.368,2110,tertiary
EST,25.699,59.59,2800,tertiary
EST,26.877,59.457,1700,tertiary
EST,26.388,58.226,6687,tertiary
EST,25.988,58.642,22300,tertiary
EST,25.13,59.398,1233,tertiary
EST,26.276,59.429,24696,tertiary
EST,25.875,59.044,9169,tertiary
EST,24.805,58.77,670,tertiary
EST,24.706,59.227,138,secondary
EST,24.839,59.296,0,tertiary
EST,26.06,58.922,1096,tertiary
EST,24.752,59.326,125,secondary
EST,24.468,59.468,1300,tertiary
EST,24.298,59.237,1388,secondary
EST,25.022,59.499,2000,tertiary
EST,24.304,59.406,4,secondary
EST,24.352,59.441,29,tertiary
EST,26.035,57.794,20,tertiary
EST,26.496,58.07,188,tertiary
EST,26.619,58.353,650,tertiary
EST,26.724,58.299,1263,secondary
EST,26.789,58.364,82,secondary
EST,24.276,59.409,650,tertiary
EST,24.395,59.466,14,tertiary
EST,24.944,59.412,15,secondary
EST,25.34,59.344,0,secondary
EST,25.523,58.114,0,secondary
EST,25.937,58.014,2500,tertiary
EST,24.349,59.467,1100,tertiary
NLD,6.957,53.013,31782,tertiary
NLD,7.099,52.88,17229,tertiary
NLD,6.738,53.41,3535,tertiary
NLD,6.676,53.399,4439,tertiary
NLD,6.343,53.353,6094,tertiary
NLD,6.384,53.252,11133,tertiary
NLD,6.774,53.172,39248,tertiary
NLD,7.028,53.117,11901,tertiary
