alpha3,scenario,context,technology,threshold_pct,threshold_hdi,year_of_elimination
ABW,SSP1,Rural,flushPit,0.01,0.838,2093
ABW,SSP1,Rural,openDefecation,0.01,0.775,2045
ABW,SSP1,Rural,openDefecation,0.02,0.764,2040
ABW,SSP1,Urban,flushPit,0.02,0.738,2029
ABW,SSP1,Urban,openDefecation,0.01,0.733,2027
ABW,SSP2,Rural,flushUnknown,0.01,0.719,2030
ABW,SSP2,Rural,openDefecation,0.01,0.775,2062
ABW,SSP2,Rural,openDefecation,0.02,0.764,2054
ABW,SSP2,Urban,flushPit,0.02,0.738,2039
ABW,SSP2,Urban,openDefecation,0.01,0.733,2037
ABW,SSP3,Rural,flushUnknown,0.02,0.706,2084
ABW,SSP3,Rural,openDefecation,0.05,0.706,2084
ABW,SSP3,Urban,openDefecation,0.02,0.684,2041
ABW,SSP4,Rural,flushUnknown,0.02,0.706,2085
ABW,SSP4,Rural,flushUnknown,0.05,0.662,2025
ABW,SSP4,Rural,openDefecation,0.05,0.706,2085
ABW,SSP4,Urban,openDefecation,0.02,0.684,2049
ABW,SSP5,Rural,flushPit,0.01,0.838,2092
ABW,SSP5,Rural,openDefecation,0.01,0.775,2044
ABW,SSP5,Rural,openDefecation,0.02,0.764,2039
ABW,SSP5,Urban,flushPit,0.02,0.738,2028
ABW,SSP5,Urban,openDefecation,0.01,0.733,2027
AFG,SSP1,Rural,pitNoSlab,0.05,0.602,2085
AFG,SSP1,Urban,flushPit,0.05,0.608,2090
AFG,SSP1,Urban,openDefecation,0.1,0.5,2026
AFG,SSP1,Urban,pitNoSlab,0.02,0.597,2081
AFG,SSP1,Urban,pitNoSlab,0.05,0.572,2061
AFG,SSP2,Rural,pitNoSlab,0.05,0.602,2088
AFG,SSP2,Urban,flushPit,0.05,0.608,2093
AFG,SSP2,Urban,openDefecation,0.1,0.5,2026
AFG,SSP2,Urban,pitNoSlab,0.02,0.597,2084
AFG,SSP2,Urban,pitNoSlab,0.05,0.572,2066
AFG,SSP3,Urban,openDefecation,0.1,0.5,2027
AFG,SSP4,Urban,openDefecation,0.1,0.5,2027
AFG,SSP5,Rural,pitNoSlab,0.05,0.602,2086
AFG,SSP5,Urban,flushPit,0.05,0.608,2091
AFG,SSP5,Urban,openDefecation,0.1,0.5,2026
AFG,SSP5,Urban,pitNoSlab,0.02,0.597,2081
AFG,SSP5,Urban,pitNoSlab,0.05,0.572,2060
AGO,SSP1,Rural,compostingToilet,0.01,0.658,2033
AGO,SSP1,Rural,flushPit,0.01,0.838,2081
AGO,SSP1,Rural,flushPit,0.02,0.647,2030
AGO,SSP1,Rural,flushPit,0.05,0.63,2027
AGO,SSP1,Rural,flushSeptic,0.1,0.898,2099
AGO,SSP1,Rural,flushUnknown,0.01,0.719,2046
AGO,SSP1,Rural,flushUnknown,0.02,0.706,2043
AGO,SSP1,Rural,flushUnknown,0.05,0.662,2034
AGO,SSP1,Rural,openDefecation,0.01,0.775,2061
AGO,SSP1,Rural,openDefecation,0.02,0.764,2058
AGO,SSP1,Rural,openDefecation,0.05,0.706,2043
AGO,SSP1,Rural,openDefecation,0.1,0.646,2030
AGO,SSP1,Rural,pitNoSlab,0.01,0.636,2028
AGO,SSP1,Rural,pitNoSlab,0.02,0.622,2026
AGO,SSP1,Rural,pitSlab,0.05,0.87,2091
AGO,SSP1,Rural,pitSlab,0.1,0.851,2085
AGO,SSP1,Urban,flushPit,0.02,0.738,2050
AGO,SSP1,Urban,flushSeptic,0.1,0.865,2089
AGO,SSP1,Urban,openDefecation,0.01,0.733,2049
AGO,SSP1,Urban,openDefecation,0.02,0.684,2038
AGO,SSP1,Urban,openDefecation,0.05,0.638,2029
AGO,SSP1,Urban,pitNoSlab,0.01,0.626,2027
AGO,SSP1,Urban,pitSlab,0.05,0.867,2090
AGO,SSP2,Rural,compostingToilet,0.01,0.658,2037
AGO,SSP2,Rural,flushPit,0.01,0.838,2094
AGO,SSP2,Rural,flushPit,0.02,0.647,2033
AGO,SSP2,Rural,flushPit,0.05,0.63,2029
AGO,SSP2,Rural,flushUnknown,0.01,0.719,2055
AGO,SSP2,Rural,flushUnknown,0.02,0.706,2050
AGO,SSP2,Rural,flushUnknown,0.05,0.662,2038
AGO,SSP2,Rural,openDefecation,0.01,0.775,2073
AGO,SSP2,Rural,openDefecation,0.02,0.764,2070
AGO,SSP2,Rural,openDefecation,0.05,0.706,2050
AGO,SSP2,Rural,openDefecation,0.1,0.646,2033
AGO,SSP2,Rural,pitNoSlab,0.01,0.636,2030
AGO,SSP2,Rural,pitNoSlab,0.02,0.622,2027
AGO,SSP2,Rural,pitSlab,0.1,0.851,2099
