from_tech,flushSewer,flushSeptic,flushPit,flushUnknown,flushOpen,pitSlab,pitNoSlab,hangingToilet,bucketLatrine,compostingToilet,openDefecation,other
flushSewer,0.0,0.043577377780569214,0.021242256189404594,0.025184749743017043,0.005431073865359898,0.06557407175644145,0.009667595822900915,0.00114361712332677,0.002636491298852753,0.0055343881096473705,0.013583764649518798,0.03886553508771688
flushSeptic,0.031940923793802166,0.0,0.029189820859534102,0.0258855606769837,0.0015888922845792288,0.03606039567989114,0.006682649646832427,0.0007108517026464273,0.0008494006686679842,0.0004942365447644541,0.00983259465374898,0.0332127638740001
flushPit,0.00987849176136439,0.01557950236003091,0.0,0.0011301325921334896,0.002438029927744684,0.019242876703160123,0.003004524892405131,0.0018179173180295695,0.0005374476135229157,0.0005124529087001954,0.003215341784909319,0.011648929288034912
flushUnknown,0.023308114692060268,0.036932981748067265,0.013422179948891012,0.0,0.0006218657344152521,0.028375937398516477,0.004441025893922107,0.0002280352485693248,0.00014491461785124621,0.0004750895087976989,0.002360387353556826,0.0036242781107184113
flushOpen,0.006316580778368049,0.003458559336291262,0.0022211461404895946,0.00027354266840561654,0.0,0.0020788373435925225,0.0010752523892095054,0.0003622729892009647,0.0001566861406968546,0.00019574621600185676,0.0013988724253929706,0.002371099577115773
pitSlab,0.06369960156626664,0.0339687521931595,0.011684805586634714,0.011866047775515073,0.0018655809704424117,0.0,0.023186779628571845,0.0009145210047125905,0.0009822952501969,0.0016238099803227899,0.017669099199838743,0.08565791166601375
pitNoSlab,0.010519525783408538,0.007517111832244967,0.005333962628947731,0.0027001247875615506,0.0009060720880901782,0.022032424298796885,0.0,0.0006369288804865099,0.0011375269579288738,0.001121976801725582,0.011649817439040467,0.05865265845701499
hangingToilet,0.0016270217167441371,0.0005522596966808967,0.0004772835044476552,0.00026928789542917015,0.00042901578098801583,0.0020792714680847087,0.000361031013992,0.0,4.486653935847235e-05,4.114809102461607e-05,0.0011678990254512008,0.005934459528674091
bucketLatrine,0.0013001833772784816,0.0012681636482092433,0.0005309259567926891,0.00015834151360624436,0.00012169418014711355,0.0013990284292806881,0.0011705359284276855,6.234025185175618e-05,0.0,3.559931132925618e-05,0.0015798837924043904,0.0023149275320753595
compostingToilet,0.007651609836529283,0.0008532131094542686,0.0003413961082180394,0.00023992367299686702,4.4973439056806473e-05,0.0011994236626553254,0.0009648844908559687,4.393613010425362e-05,5.646157432011217e-05,0.0,0.0004677243672046044,0.003973047606321492
openDefecation,0.012079443870821044,0.009292257468580135,0.004934343791628565,0.002294897342505333,0.0012103355041634676,0.015824750429938212,0.00711449334638955,0.0017737876972992806,0.0006700882612259646,0.0006714802285402947,0.0,0.025851184171986383
other,0.02510659503149748,0.022074865626678045,0.009738824483194764,0.005108858954486594,0.0022184250912028456,0.09189024157679271,0.05698611572606956,0.005391019117793416,0.0014587146310285376,0.005403601496675419,0.03122774069587809,0.0
