alpha3,flushSewer_urb,flushSeptic_urb,flushPit_urb,flushOpen_urb,flushUnknown_urb,pitSlab_urb,pitNoSlab_urb,bucketLatrine_urb,hangingToilet_urb,openDefecation_urb,containerBased_urb,compostingToilet_urb,other_urb,coverBury_urb,sewageTreated_urb,fecalSludgeTreated_urb,isWatertight_urb,hasLeach_urb,onsiteDumpedland_urb,emptyFrequency_urb,pitAdditive_urb,urine_urb,twinPits_urb,flushSewer_rur,flushSeptic_rur,flushPit_rur,flushOpen_rur,flushUnknown_rur,pitSlab_rur,pitNoSlab_rur,bucketLatrine_rur,hangingToilet_rur,openDefecation_rur,containerBased_rur,compostingToilet_rur,other_rur,coverBury_rur,sewageTreated_rur,fecalSludgeTreated_rur,isWatertight_rur,hasLeach_rur,onsiteDumpedland_rur,emptyFrequency_rur,pitAdditive_rur,urine_rur,twinPits_rur
AFG,0.100,0.226,0.023,0.010,0.000,0.486,0.152,0.000,0.000,0.002,0.000,0.000,0.001,0.000,0.024,0.000,0.000,0.000,0.100,3,0,0,0,0.017,0.019,0.007,0.003,0.000,0.577,0.222,0.000,0.000,0.149,0.000,0.000,0.006,0.000,0.024,0.000,0.000,0.000,0.100,3,0,0,0
AGO,0.117,0.756,0.000,0.040,0.000,0.000,0.000,0.004,0.000,0.078,0.000,0.000,0.005,0.000,0.120,0.000,0.000,0.000,0.100,3,0,0,0,0.006,0.046,0.049,0.002,0.000,0.054,0.084,0.002,0.010,0.557,0.000,0.014,0.006,0.000,0.120,0.000,0.000,0.000,0.100,3,0,0,0
ALB,0.911,0.014,0.056,0.009,0.005,0.001,0.001,0.000,0.000,0.000,0.000,0.002,0.000,0.064,0.170,0.038,0.038,0.038,0.100,3,0,0,0,0.852,0.000,0.000,0.000,0.000,0.148,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.170,0.000,0.000,0.000,0.100,3,0,0,0
AND,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.865,0.000,0.000,0.000,0.100,3,0,0,0,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.865,0.000,0.000,0.000,0.100,3,0,0,0
ARE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.025,0.858,0.025,0.025,0.025,0.100,3,0,0,0,0.859,0.028,0.000,0.001,0.106,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.063,0.858,0.063,0.063,0.063,0.100,3,0,0,0
ARG,0.651,0.081,0.256,0.001,0.005,0.001,0.001,0.000,0.000,0.001,0.000,0.000,0.002,0.115,0.204,0.042,0.042,0.042,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.204,0.000,0.000,0.000,0.100,3,0,0,0
ARM,0.981,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.019,0.000,0.292,0.000,0.000,0.000,0.100,3,0,0,0,0.286,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.714,0.000,0.292,0.000,0.000,0.000,0.100,3,0,0,0
ATG,0.020,0.725,0.132,0.000,0.000,0.102,0.000,0.000,0.000,0.011,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.100,3,0,0,0,0.001,0.854,0.106,0.000,0.000,0.036,0.000,0.000,0.000,0.003,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.100,3,0,0,0
AUS,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.645,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.645,0.000,0.000,0.000,0.100,3,0,0,0
AUT,0.985,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.008,0.939,0.008,0.008,0.008,0.100,3,0,0,0,0.997,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.141,0.939,0.008,0.008,0.008,0.100,3,0,0,0
AZE,0.998,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.045,0.350,0.041,0.041,0.041,0.100,3,0,0,0,0.967,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.033,0.000,0.350,0.000,0.000,0.000,0.100,3,0,0,0
BDI,0.032,0.275,0.017,0.000,0.001,0.484,0.183,0.000,0.001,0.005,0.000,0.001,0.000,0.000,0.007,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.004,0.000,0.000,0.000,0.483,0.486,0.000,0.001,0.024,0.000,0.002,0.000,0.000,0.007,0.000,0.000,0.000,0.100,3,0,0,0
BEL,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.750,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.750,0.000,0.000,0.000,0.100,3,0,0,0
BEN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.308,0.000,0.000,0.692,0.032,0.018,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.587,0.000,0.000,0.414,0.017,0.018,0.000,0.000,0.000,0.100,3,0,0,0
BFA,0.013,0.066,0.023,0.000,0.002,0.802,0.024,0.000,0.001,0.067,0.000,0.000,0.000,0.119,0.018,0.000,0.000,0.000,0.100,3,0,0,0,0.001,0.000,0.001,0.001,0.000,0.396,0.094,0.000,0.004,0.499,0.000,0.004,0.000,0.086,0.018,0.000,0.000,0.000,0.100,3,0,0,0
BGD,0.000,0.000,0.000,0.000,0.000,0.305,0.000,0.000,0.063,0.004,0.000,0.000,0.000,0.204,0.024,0.000,0.000,0.000,0.100,3,0,0,0,0.008,0.229,0.204,0.017,0.000,0.477,0.044,0.000,0.007,0.001,0.000,0.000,0.013,0.322,0.024,0.000,0.000,0.000,0.100,3,0,0,0
