scenario,year,alpha3,bucketLatrine_urb,compostingToilet_urb,flushOpen_urb,flushPit_urb,flushSeptic_urb,flushSewer_urb,flushUnknown_urb,hangingToilet_urb,openDefecation_urb,other_urb,pitNoSlab_urb,pitSlab_urb,containerBased_urb,onsiteDumpedland_urb,emptyFrequency_urb,pitAdditive_urb,urine_urb,twinPits_urb,coverBury_urb,fecalSludgeTreated_urb,sewageTreated_urb,isWatertight_urb,hasLeach_urb,bucketLatrine_rur,compostingToilet_rur,flushOpen_rur,flushPit_rur,flushSeptic_rur,flushSewer_rur,flushUnknown_rur,hangingToilet_rur,openDefecation_rur,other_rur,pitNoSlab_rur,pitSlab_rur,containerBased_rur,onsiteDumpedland_rur,emptyFrequency_rur,pitAdditive_rur,urine_rur,twinPits_rur,coverBury_rur,fecalSludgeTreated_rur,sewageTreated_rur,isWatertight_rur,hasLeach_rur
SSP1,2025,ABW,0.001,0.000,0.003,0.028,0.227,0.559,0.037,0.000,0.001,0.015,0.000,0.129,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.130,0.000,0.000,0.001,0.001,0.007,0.081,0.316,0.299,0.040,0.000,0.029,0.018,0.000,0.208,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.130,0.000,0.000
SSP1,2025,AFG,0.000,0.000,0.010,0.023,0.226,0.100,0.000,0.000,0.002,0.001,0.152,0.486,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.024,0.000,0.000,0.000,0.000,0.003,0.007,0.019,0.017,0.000,0.000,0.149,0.006,0.222,0.577,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.024,0.000,0.000
SSP1,2025,AGO,0.004,0.000,0.040,0.000,0.756,0.117,0.000,0.000,0.078,0.005,0.000,0.000,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.120,0.000,0.000,0.002,0.017,0.003,0.059,0.056,0.007,0.000,0.012,0.671,0.007,0.101,0.065,0.170,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.120,0.000,0.000
SSP1,2025,AIA,0.001,0.000,0.003,0.039,0.274,0.448,0.039,0.000,0.001,0.015,0.000,0.180,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.030,0.000,0.000,0.001,0.001,0.006,0.101,0.339,0.214,0.037,0.000,0.026,0.016,0.000,0.259,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.030,0.000,0.000
SSP1,2025,ALA,0.000,0.000,0.000,0.006,0.067,0.869,0.000,0.000,0.000,0.002,0.001,0.055,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.056,0.882,0.000,0.000,0.000,0.000,0.000,0.062,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
SSP1,2025,ALB,0.000,0.002,0.009,0.056,0.014,0.912,0.005,0.000,0.000,0.000,0.001,0.001,0.000,0.100,3.000,0.000,0.000,0.000,0.064,0.038,0.170,0.038,0.038,0.000,0.000,0.000,0.000,0.000,0.851,0.000,0.000,0.000,0.001,0.000,0.148,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.170,0.000,0.000
SSP1,2025,AND,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.865,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.865,0.000,0.000
SSP1,2025,ARE,0.000,0.003,0.000,0.003,0.053,0.928,0.000,0.000,0.000,0.013,0.000,0.000,1.000,0.100,3.000,0.000,0.000,0.000,0.025,0.025,0.858,0.025,0.025,0.000,0.000,0.001,0.000,0.028,0.859,0.106,0.000,0.000,0.000,0.000,0.006,0.000,0.100,3.000,0.000,0.000,0.000,0.063,0.063,0.858,0.063,0.063
SSP1,2025,ARG,0.000,0.000,0.001,0.256,0.081,0.652,0.005,0.000,0.001,0.002,0.001,0.001,0.000,0.100,3.000,0.000,0.000,0.000,0.115,0.042,0.204,0.042,0.042,0.000,0.001,0.000,0.001,0.101,0.709,0.000,0.000,0.000,0.000,0.000,0.188,1.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.204,0.000,0.000
SSP1,2025,ARM,0.000,0.000,0.000,0.000,0.000,0.981,0.000,0.000,0.000,0.019,0.000,0.000,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.292,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.286,0.000,0.000,0.000,0.714,0.000,0.000,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.292,0.000,0.000
