region;flushSewer;flushSeptic;flushPit;flushOpen;flushUnknown;pitSlab;pitNoSlab;bucketLatrine;hangingToilet;openDefecation;containerBased;compostingToilet;other;coverBury;sewageTreated;fecalSludgeTreated;isWatertight;hasLeach;onsiteDumpedland;emptyFrequency;pitAdditive;urine;twinPits;warning
ABW;0.0;0.0;0.0;0.0;0.0;0.991;0.0;0.0;0.0;0.007;;0.0;0.002;;0.04672102506950807;;;;0.1;3;0;0;0;
AFG;0.015;0.088;0.012;0.002;0.0;0.41700000000000004;0.295;0.0;0.0;0.136;;0.0;0.035;;;;;;0.1;3;0;0;0;
AIA;0.0;0.0;0.0;0.0;0.0;0.009;0.0;0.0;0.0;0.008;;0.0;0.006;;;;;;0.1;3;0;0;0;Does not add up to 100%
ALB;0.736;0.048;0.179;0.02;0.007;0.002;0.003;0.0;0.0;0.0;;0.003;0.001;0.1721067442717733;0.28956815243269324;0.1019487443466163;0.1019487443466163;0.1019487443466163;0.1;3;0;0;0;
AND;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.1;3;0;0;0;
ARE;0.94;0.011;0.002;0.002;0.041;0.004;0.0;0.0;0.0;0.0;;0.0;0.0;0.02938496024696303;0.9258612460060283;0.02938496024696303;0.02938496024696303;0.02938496024696303;0.1;3;0;0;0;
ARG;0.493;0.265;0.204;0.0;0.0;0.0;0.011;0.0;0.0;0.027;;0.0;0.0;;;;;;0.1;3;0;0;0;
ARM;0.719;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.281;0.10753114147216809;0.0;0.0;0.0;0.0;0.1;3;0;0;0;
ASM;0.521;0.442;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.037;0.05907655309157962;0.2604430754088894;0.05042189696208449;0.05042189696208449;0.05042189696208449;0.1;3;0;0;0;
ATG;0.006;0.819;0.113;0.0;0.0;0.054;0.0;0.0;0.0;0.005;;0.0;0.004;;;;;;0.1;3;0;0;0;
AUS;0.929;0.071;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.014561638246041751;0.9292550314701751;0.01436822366671365;0.01436822366671365;0.01436822366671365;0.1;3;0;0;0;
AUT;0.96;0.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.06213651047386791;0.9264571073743548;0.008126180968067826;0.008126180968067826;0.008126180968067826;0.1;3;0;0;0;
AZE;0.985;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.015;;;;;;0.1;3;0;0;0;
BDI;0.004;0.033;0.002;0.0;0.0;0.483;0.452;0.0;0.001;0.022;;0.002;0.0;;;;;;0.1;3;0;0;0;
BEL;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.05493117043903168;0.8391077207687665;0.05493117043903168;0.05493117043903168;0.05493117043903168;0.1;3;0;0;0;
BEN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.454;;0.0;0.546;0.024499782381022718;0.002512974960463339;0.0;0.0;0.0;0.1;3;0;0;0;
BFA;0.003;0.012;0.005;0.001;0.0;0.47100000000000003;0.081;0.0;0.003;0.42;;0.003;0.0;0.09666974561986598;0.00079499504027381;0.0;0.0;0.0;0.1;3;0;0;0;
BGD;0.0;0.0;0.0;0.0;0.0;0.218;0.0;0.0;0.133;0.013;;0.0;0.001;0.2748023715701168;0.03495956671792192;0.0;0.0;0.0;0.1;3;0;0;0;Does not add up to 100%
BGR;0.7625;0.238;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.02846581998704118;0.6780635685419781;0.02803668321654311;0.02803668321654311;0.02803668321654311;0.1;3;0;0;0;
BHR;0.768;0.233;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.8515332924347918;0.07075419994621526;0.07075419994621526;0.07075419994621526;0.1;3;0;0;0;
BHS;0.698;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.302;;;;;;0.1;3;0;0;0;
BIH;0.479;0.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.141;;;;;;0.1;3;0;0;0;
BLM;0.059;0.854;0.082;0.0;0.0;0.004;0.0;0.0;0.0;0.0;;0.0;0.0;;;;;;0.1;3;0;0;0;
BLR;0.948;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.052;0.08616489411143541;0.6232647813394732;0.04092805235677477;0.04092805235677477;0.04092805235677477;0.1;3;0;0;0;
BLZ;0.0;0.0;0.0;0.0;0.0;0.82;0.0;0.0;0.0;0.0;;0.0;0.18;;;;;;0.1;3;0;0;0;
BMU;0.0;0.0;0.0;0.0;0.0;0.999;0.0;0.0;0.0;0.0;;0.0;0.001;;0.015;;;;0.1;3;0;0;0;
BOL;0.51;0.127;0.021;0.001;0.001;0.154;0.078;0.0;0.0;0.098;;0.011;0.0;;;;;;0.1;3;0;0;0;
BRA;0.658;0.0;0.0;0.016;0.0;0.288;0.013;0.0;0.0;0.008;;0.0;0.017;0.06879745427524422;0.3895029152976243;0.037902589646350446;0.037902589646350446;0.037902589646350446;0.1;3;0;0;0;
BRB;0.016;0.058;0.885;0.0;0.0;0.036;0.0;0.0;0.0;0.0;;0.0;0.005;;;;;;0.1;3;0;0;0;
BRN;0.0;0.986;0.0;0.0;0.0;0.0;0.0;0.0;0.014;0.0;;0.0;0.0;;;;;;0.1;3;0;0;0;
BTN;0.042;0.427;0.0;0.035;0.0;0.19499999999999998;0.265;0.0;0.0;0.0;;0.0;0.036000000000000004;0.41769068772868556;0.08739174432760204;0.0;0.0;0.0;0.1;3;0;0;0;
CAF;0.001;0.001;0.0025;0.0005;0.0;0.11750000000000001;0.2335;0.0;0.0195;0.1365;;0.0345;0.453;0.1331671779866197;0.000301932143397735;0.0;0.0;0.0;0.1;3;0;0;0;
CAN;0.844;0.14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.005563118409935682;0.7178830116030359;0.1158236164620237;0.1158236164620237;0.1158236164620237;0.1;3;0;0;0;
CHE;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.002043145381498788;0.9940661092413415;0.002043145381498788;0.002043145381498788;0.002043145381498788;0.1;3;0;0;0;
