region;flushSewer;flushSeptic;flushPit;flushOpen;flushUnknown;pitSlab;pitNoSlab;bucketLatrine;hangingToilet;openDefecation;containerBased;compostingToilet;other;coverBury;sewageTreated;fecalSludgeTreated;isWatertight;hasLeach;onsiteDumpedLand;emptyFrequency;pitAdditive;urine;twinPits;warning
AFG;0.017;0.019;0.007;0.003;0.0;0.577;0.222;0.0;0.0;0.149;;0.0;0.006;;;;;;0.1;3;0;0;0;
AGO;0.006;0.046;0.0485;0.002;0.0;0.0545;0.084;0.0015;0.01;0.5569999999999999;;0.014;0.006500000000000001;;;;;;0.1;3;0;0;0;Does not add up to 100%
ALB;0.852;0.0;0.0;0.0;0.0;0.14800000000000002;0.0;0.0;0.0;0.0;;0.0;0.001;;0.1043721888064959;;;;0.1;3;0;0;0;
AND;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.1;3;0;0;0;
ARE;0.859;0.028;0.0;0.001;0.106;0.006;0.0;0.0;0.0;0.0;;0.0;0.0;0.062888675;0.8594052999999999;0.062888675;0.062888675;0.062888675;0.1;3;0;0;0;
ARG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;;;;;0.1;3;0;0;0;
ARM;0.286;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.714;;0.0;;;;0.1;3;0;0;0;
ATG;0.001;0.854;0.106;0.0;0.0;0.036;0.0;0.0;0.0;0.003;;0.0;0.001;;;;;;0.1;3;0;0;0;
AUS;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;;0.0;0.0;;;;;;0.1;3;0;0;0;
AUT;0.997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.003;0.1409533787655269;0.8432808910305599;0.008393178999691876;0.008393178999691876;0.008393178999691876;0.1;3;0;0;0;
AZE;0.967;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.033;;;;;;0.1;3;0;0;0;
BDI;0.0;0.004;0.0;0.0;0.0;0.483;0.486;0.0;0.001;0.024;;0.002;0.0;;;;;;0.1;3;0;0;0;
BEL;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;;0.0;0.0;;;;;;0.1;3;0;0;0;
BEN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.587;;0.0;0.41400000000000003;0.01730648456074373;0.000532818665662391;0.0;0.0;0.0;0.1;3;0;0;0;
BFA;0.001;0.0;0.001;0.001;0.0;0.396;0.094;0.0;0.004;0.499;;0.004;0.0;0.0863664261430182;0.0;0.0;0.0;0.0;0.1;3;0;0;0;
BGD;0.008;0.229;0.204;0.017;0.0;0.477;0.044;0.0;0.007;0.001;;0.0;0.013;0.32156839993734576;0.0028235097659773238;0.0;0.0;0.0;0.1;3;0;0;0;
BGR;0.576;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.424;0.08850972855061526;0.43870820454018256;0.08717539920105981;0.08717539920105981;0.08717539920105981;0.1;3;0;0;0;
BHS;0.459;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.541;;;;;;0.1;3;0;0;0;
BIH;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;;;;;0.1;3;0;0;0;
BLR;0.836;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.164;0.27123830436212;0.2153093032017668;0.0;0.0;0.0;0.1;3;0;0;0;
BLZ;0.0;0.0;0.0;0.0;0.0;0.711;0.0;0.0;0.0;0.0;;0.0;0.289;;;;;;0.1;3;0;0;0;
BOL;0.087;0.066;0.025;0.0;0.0;0.272;0.213;0.0;0.0;0.305;;0.032;0.0;;;;;;0.1;3;0;0;0;
BRA;0.094;0.0;0.0;0.028;0.0;0.711;0.032;0.0;0.0;0.049;;0.0;0.088;;0.04770288187015842;;;;0.1;3;0;0;0;
BRN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;;;;;0.1;3;0;0;0;
BTN;0.012;0.334;0.0;0.041;0.0;0.23299999999999998;0.334;0.0;0.0;0.0;;0.0;0.046;0.5524828799165273;0.02670491237068353;0.0;0.0;0.0;0.1;3;0;0;0;
