region;flushSewer;flushSeptic;flushPit;flushOpen;flushUnknown;pitSlab;pitNoSlab;bucketLatrine;hangingToilet;openDefecation;containerBased;compostingToilet;other;coverBury;sewageTreated;fecalSludgeTreated;isWatertight;hasLeach;onsiteDumpedLand;emptyFrequency;pitAdditive;urine;twinPits;warning
AFG;0.1;0.226;0.023;0.01;0.0;0.48600000000000004;0.152;0.0;0.0;0.002;;0.0;0.001;;;;;;0.1;3;0;0;0;
AGO;0.117;0.756;0.0;0.04;0.0;0.0;0.0;0.004;0.0;0.078;;0.0;0.005;;;;;;0.1;3;0;0;0;
AIA;0.0;0.0;0.0;0.0;0.0;0.009;0.0;0.0;0.0;0.008;;0.0;0.006;;;;;;0.1;3;0;0;0;Does not add up to 100%
ALB;0.911;0.014;0.056;0.009;0.005;0.001;0.001;0.0;0.0;0.0;;0.002;0.0;0.06393538846359326;0.394652557811068;0.03787261563023762;0.03787261563023762;0.03787261563023762;0.1;3;0;0;0;
AND;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.1;3;0;0;0;
ARE;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.024617521165799978;0.9353176033848;0.024617521165799978;0.024617521165799978;0.024617521165799978;0.1;3;0;0;0;
ARG;0.651;0.081;0.256;0.001;0.005;0.001;0.001;0.0;0.0;0.001;;0.0;0.002;0.11502993044977179;0.30492882728070553;0.04215368344444709;0.04215368344444709;0.04215368344444709;0.1;3;0;0;0;
ARM;0.981;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.019;0.0;0.0;0.0;0.0;0.0;0.1;3;0;0;0;
ATG;0.02;0.725;0.132;0.0;0.0;0.10200000000000001;0.0;0.0;0.0;0.011;;0.0;0.01;;;;;;0.1;3;0;0;0;
AUS;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;;0.0;0.0;;;;;;0.1;3;0;0;0;
AUT;0.985;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.015;0.007942595114306741;0.9836484899069879;0.007942595114306741;0.007942595114306741;0.007942595114306741;0.1;3;0;0;0;
AZE;0.998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.002;0.04456848881621131;0.5438812907680587;0.041357731670705944;0.041357731670705944;0.041357731670705944;0.1;3;0;0;0;
BDI;0.032;0.275;0.017;0.0;0.001;0.484;0.183;0.0;0.001;0.005;;0.001;0.0;;;;;;0.1;3;0;0;0;
BEL;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;;0.0;0.0;;;;;;0.1;3;0;0;0;
BEN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.308;;0.0;0.692;0.03182842558098749;0.004530388706811158;0.0;0.0;0.0;0.1;3;0;0;0;
BFA;0.013;0.066;0.023;0.0;0.002;0.8019999999999999;0.024;0.0;0.001;0.067;;0.0;0.0;0.1186885421878399;0.0024939456970879182;0.0;0.0;0.0;0.1;3;0;0;0;
BGD;0.0;0.0;0.0;0.0;0.0;0.305;0.0;0.0;0.063;0.004;;0.0;0.0;0.20380245620671592;0.08374833372445847;0.0;0.0;0.0;0.1;3;0;0;0;Does not add up to 100%
BGR;0.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.04;0.009880143083266705;0.7521524108667053;0.009731194881643075;0.009731194881643075;0.009731194881643075;0.1;3;0;0;0;
BHS;0.712;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.288;;;;;;0.1;3;0;0;0;
BIH;0.833;0.153;0.0;0.005;0.0;0.006;0.001;0.0;0.0;0.0;;0.0;0.002;0.03909560010791088;0.5028183171675341;0.03909560010791088;0.03909560010791088;0.03909560010791088;0.1;3;0;0;0;
BLM;0.059;0.854;0.082;0.0;0.0;0.004;0.0;0.0;0.0;0.0;;0.0;0.0;;;;;;0.1;3;0;0;0;
BLR;0.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.01;0.04083544038963602;0.7231840476713054;0.05095243285768784;0.05095243285768784;0.05095243285768784;0.1;3;0;0;0;
BLZ;0.0;0.0;0.0;0.0;0.0;0.94;0.0;0.0;0.0;0.0;;0.0;0.06;;;;;;0.1;3;0;0;0;
BMU;0.0;0.0;0.0;0.0;0.0;0.999;0.0;0.0;0.0;0.0;;0.0;0.001;;0.015;;;;0.1;3;0;0;0;
BOL;0.689;0.153;0.02;0.001;0.001;0.104;0.021;0.0;0.0;0.01;;0.002;0.0;;;;;;0.1;3;0;0;0;
BRA;0.75;0.0;0.0;0.014;0.0;0.22;0.01;0.0;0.0;0.001;;0.0;0.005;0.04913145799513302;0.438086103283567;0.02706799998247203;0.02706799998247203;0.02706799998247203;0.1;3;0;0;0;
BRN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;;;;;0.1;3;0;0;0;
BTN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.2439350841941985;0.1656208939586502;0.0;0.0;0.0;0.1;3;0;0;0;
BWA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.038;;0.0;0.962;;0.009296520220970762;;;;0.1;3;0;0;0;
CAF;0.004;0.007;0.009;0.003;0.0;0.3;0.51;0.0;0.031;0.061;;0.073;0.001;0.2336284776638741;0.0006307478821171531;0.0;0.0;0.0;0.1;3;0;0;0;
CAN;0.919;0.064;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0029387560844254717;0.7576214968443239;0.07959720987718256;0.07959720987718256;0.07959720987718256;0.1;3;0;0;0;
CHE;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.9989989989989989;0.0;0.0;0.0;0.1;3;0;0;0;
CHL;0.971;0.017;0.003;0.0;0.0;0.006;0.0;0.0;0.0;0.003;;0.0;0.0;0.003788878702881959;0.9848444851884721;0.003788878702881959;0.003788878702881959;0.003788878702881959;0.1;3;0;0;0;
CHN;0.0;0.0;0.0;0.0;0.032;0.101;0.0;0.0;0.0;0.005;;0.0;0.003;0.02706859055504415;0.7687129872367943;0.05134249723152272;0.05134249723152272;0.05134249723152272;0.1;3;0;0;0;Does not add up to 100%
CIV;0.127;0.279;0.028;0.008;0.007;0.45;0.077;0.002;0.001;0.018;;0.001;0.001;0.1688981841240391;0.03179335118511545;0.0;0.0;0.0;0.1;3;0;0;0;
CMR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.056;;0.0;0.944;;;;;;0.1;3;0;0;0;
COL;0.923;0.051;0.001;0.018;0.0;0.001;0.0;0.0;0.0;0.007;;0.0;0.0;0.01984052312895419;0.14525396330303442;0.003205806087252846;0.003205806087252846;0.003205806087252846;0.1;3;0;0;0;
COM;0.074;0.079;0.039;0.004;0.002;0.322;0.431;0.0;0.031;0.004;;0.014;0.0;;;;;;0.1;3;0;0;0;
CPV;0.2125;0.2255;0.0135;0.0;0.0;0.001;0.0;0.0;0.0;0.075;;0.0;0.4725;;;;;;0.1;3;0;0;0;
CRI;0.313;0.66;0.018;0.0;0.0;0.006;0.0;0.0;0.0;0.002;;0.0;0.001;0.18403442485781552;0.047060231651917445;0.0;0.0;0.0;0.1;3;0;0;0;
CUB;0.0;0.0;0.0;0.0;0.0;0.998;0.0;0.0;0.0;0.0;;0.0;0.002;0.1369964802850919;0.189306496385828;0.04426091702563336;0.04426091702563336;0.04426091702563336;0.1;3;0;0;0;
CYM;0.156;0.646;0.136;0.0;0.0;0.001;0.0;0.0;0.0;0.0;;0.0;0.062;;0.1270130395984389;;;;0.1;3;0;0;0;
CYP;0.73;0.27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.08625699584677873;0.6891642857142858;0.08625699584677873;0.08625699584677873;0.08625699584677873;0.1;3;0;0;0;
CZE;0.996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.004;;;;;;0.1;3;0;0;0;
DEU;0.999;0.001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.001;0.0007447023208879849;0.9832362926110573;0.0007396461579320821;0.0007396461579320821;0.0007396461579320821;0.1;3;0;0;0;
DJI;0.066;0.145;0.015;0.012;0.0;0.46499999999999997;0.27;0.0;0.0;0.016;;0.0;0.011;0.4176687901378303;0.02984680142408869;0.0;0.0;0.0;0.1;3;0;0;0;
DNK;0.991;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.009;;;;;;0.1;3;0;0;0;
DOM;0.242;0.654;0.0;0.004;0.038;0.047;0.007;0.0;0.0;0.01;;0.0;0.0;0.3128606560989866;0.1098562994517393;0.0;0.0;0.0;0.1;3;0;0;0;
DZA;0.974;0.016;0.0;0.007;0.007;0.002;0.0;0.0;0.0;0.0;;0.0;0.0;0.0034572641340423938;0.641579194288115;0.000699081733327845;0.000699081733327845;0.000699081733327845;0.1;3;0;0;0;
ECU;0.818;0.158;0.015;0.0;0.0;0.0;0.0;0.0;0.0;0.008;;0.0;0.001;0.08160497038397513;0.2238961568607478;0.003893105643815622;0.003893105643815622;0.003893105643815622;0.1;3;0;0;0;
EGY;0.9035;0.026;0.0;0.001;0.0545;0.0;0.0;0.0;0.0;0.001;;0.0;0.0145;0.001861071716608649;0.7231634013120118;0.001359279291751604;0.001359279291751604;0.001359279291751604;0.1;3;0;0;0;
ERI;0.101;0.117;0.021;0.0;0.0;0.10300000000000001;0.0;0.0;0.0;0.342;;0.0;0.316;;;;;;0.1;3;0;0;0;
ESP;0.999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.001;;;;;;0.1;3;0;0;0;
EST;0.966;0.028;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.003017529052012842;0.9712727340657449;0.003017529052012842;0.003017529052012842;0.003017529052012842;0.1;3;0;0;0;
ETH;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.198;;0.0;0.802;0.16915852245301072;0.005277467786293493;0.0;0.0;0.0;0.1;3;0;0;0;
FIN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;;;;;0.1;3;0;0;0;
FLK;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;;;;;0.1;3;0;0;0;
FRA;0.996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.004;;;;;;0.1;3;0;0;0;
GAB;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.028;;0.0;0.972;;;;;;0.1;3;0;0;0;
GBR;0.996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.004;0.00040299022066206;0.9887520060180541;0.00040299022066206;0.00040299022066206;0.00040299022066206;0.1;3;0;0;0;
GEO;0.91;0.0;0.0;0.024;0.0;0.066;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.1414170588633716;0.0;0.0;0.0;0.1;3;0;0;0;
GHA;0.0145;0.1865;0.023;0.0015;0.001;0.2095;0.033;0.0;0.0;0.1185;;0.002;0.4105;0.132423622980222;0.008033754039767802;0.0;0.0;0.0;0.1;3;0;0;0;
GIB;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;;;;;0.1;3;0;0;0;
GIN;0.01;0.234;0.059;0.004;0.002;0.649;0.04;0.0;0.0;0.002;;0.0;0.0;;;;;;0.1;3;0;0;0;
GLP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;;;;;0.1;3;0;0;0;
GMB;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003;;0.0;0.997;0.3029439118033574;0.00733285653245466;0.0;0.0;0.0;0.1;3;0;0;0;
GNB;0.028;0.315;0.097;0.003;0.004;0.5449999999999999;0.0;0.0;0.001;0.005;;0.002;0.0;0.206746106516772;0.005928894755142613;0.0;0.0;0.0;0.1;3;0;0;0;
