alpha-3,source,is_complete,year
AFG,AFG_2020_IELFS,True,2020.0
AGO,AGO_2016_IIMS,True,2016.0
ALB,ALB_2018_DHS,True,2018.0
AND,AND_2012_GA,True,2012.0
ARE,ARE_2018_HS,True,2018.0
ARG,ARG_2010_CEN,True,2010.0
ARM,ARM_2018_ASB,True,2018.0
ATG,ATG_2018_LFS,True,2018.0
AUS,AUS_1990_WHO,True,1990.0
AUT,AUT_2015_EUSILC,True,2015.0
AZE,AZE_2020_SO,True,2020.0
BDI,BDI_2017_DHS,True,2017.0
BEL,BEL_2021_PWH,True,2021.0
BEN,BEN_2020_AFB,True,2020.0
BFA,BFA_2021_PMA,True,2021.0
BGD,BGD_2021_NSDP,True,2021.0
BGR,BGR_2015_EUSILC,True,2015.0
BHS,BHS_2014_VCS,True,2014.0
BIH,BIH_2012_MICS,True,2012.0
BLR,BLR_2020_LSS,True,2020.0
BLZ,BLZ_2019_SDGR,True,2019.0
BOL,BOL_2020_EH,True,2020.0
BRA,BRA_2019_PNAD,True,2019.0
BRB,BRB_2012_MICS,True,2012.0
BRN,BRN_2011_CEN,True,2011.0
BTN,BTN_2012_BLSS,True,2012.0
BWA,BWA_2019_AFB,True,2019.0
CAF,CAF_2019_MICS,True,2019.0
CAN,CAN_2019_HES,True,2019.0
CHE,CHE_2018_PWH,True,2018.0
CHN,CHN_2013_NHSS,True,2013.0
CIV,CIV_2020_PMA,True,2020.0
CMR,CMR_2021_AFB,True,2021.0
COD,COD_2018_MICS,True,2018.0
COG,COG_2015_MICS,True,2015.0
COL,COL_2021_ENCV,True,2021.0
COM,COM_2012_DHS-MICS,True,2012.0
CPV,CPV_2019_AFB,True,2019.0
CRI,CRI_2021_ENAHO,True,2021.0
CUB,CUB_2021_AE,True,2021.0
CYP,CYP_2016_HBS,True,2016.0
CZE,CZE_2015_EUSILC,True,2015.0
DEU,DEU_1998_OECD,True,1998.0
DJI,DJI_2015_EDSESIC,True,2015.0
DMA,DMA_2001_CEN,True,2001.0
DNK,DNK_2015_EUSILC,True,2015.0
DOM,DOM_2021_ENH,True,2021.0
DZA,DZA_2019_MICS,True,2019.0
ECU,ECU_2021_ENEMDU,True,2021.0
EGY,EGY_2018_ELMPS,True,2018.0
ERI,ERI_2010_PHS,True,2010.0
ESP,ESP_2015_EUSILC,True,2015.0
EST,EST_2020_HBS,True,2020.0
ETH,ETH_2020_AFB,True,2020.0
FIN,FIN_2015_EUSILC,True,2015.0
FJI,FJI_2021_MICS,True,2021.0
FLK,FLK_2016_FIG,True,2016.0
FRA,FRA_2015_EUSILC,True,2015.0
GAB,GAB_2020_AFB,True,2020.0
GBR,GBR_2015_EUSILC,True,2015.0
GEO,GEO_2021_HIES,True,2021.0
GHA,GHA_2021_PHC,True,2021.0
GIN,GIN_2021_MIS,True,2021.0
GLP,GLP_2006_CEN,True,2006.0
GMB,GMB_2021_AFB,True,2021.0
GNB,GNB_2019_MICS,True,2019.0
GRC,GRC_2019_HBS,True,2019.0
GRD,GRD_2005_CWIQ,True,2005.0
GTM,GTM_2021_ENEI,True,2021.0
GUF,GUF_2006_CEN,True,2006.0
GUY,GUY_2020_MICS,True,2020.0
HND,HND_2021_EPHPM,True,2021.0
HRV,HRV_2015_EUSILC,True,2015.0
HTI,HTI_2017_DHS,True,2017.0
HUN,HUN_2016_CC,True,2016.0
IDN,IDN_2020_SUS,True,2020.0
IND,IND_2021_NFHS,True,2021.0
IRL,IRL_2016_CEN,True,2016.0
IRN,IRN_2011_CEN,True,2011.0
IRQ,IRQ_2018_MICS,True,2018.0
ISL,ISL_2014_EUSILC,True,2014.0
ITA,ITA_2015_EUSILC,True,2015.0
JAM,JAM_2017_SLC,True,2017.0
JOR,JOR_2018_DHS,True,2018.0
JPN,JPN_2000_JWWA,True,2000.0
KAZ,KAZ_2015_MICS,True,2015.0
KEN,KEN_2020_PMA,True,2020.0
KGZ,KGZ_2018_MICS,True,2018.0
KHM,KHM_2022_CDHS,True,2022.0
KIR,KIR_2020_HIES,True,2020.0
KNA,KNA_1999_JMP,True,1999.0
KOR,KOR_1997_SO,True,1997.0
LAK,LAK_2019_HIES,True,2019.0
LAO,LAO_2017_LSIS,True,2017.0
LBR,LBR_2020_DHS,True,2020.0
LBY,LBY_1995_LMCHS,True,1995.0
LCA,LCA_2012_MICS,True,2012.0
LKA,LKA_2021_WQS,True,2021.0
LSO,LSO_2020_AFB,True,2020.0
LTU,LTU_2020_SILC,True,2020.0
LUX,LUX_2020_ES,True,2020.0
LVA,LVA_2020_ILCS,True,2020.0
MAR,MAR_2018_AFB,True,2018.0
MDA,MDA_2021_HBS,True,2021.0
MDG,MDG_2021_DHS,True,2021.0
MDV,MDV_2019_ADM,True,2019.0
MEX,MEX_2021_ENSANUT,True,2021.0
MHL,MHL_2020_HIES,True,2020.0
MKD,MKD_2019_MICS,True,2019.0
MLI,MLI_2021_MIS,True,2021.0
MLT,MLT_2015_EUSILC,True,2015.0
MMR,MMR_2019_ICEN,True,2019.0
MNE,MNE_2018_MICS,True,2018.0
MNG,MNG_2021_MICS+,True,2021.0
MNP,MNP_2003_LFS,True,2003.0
MOZ,MOZ_2020_IOF,True,2020.0
MRT,MRT_2021_DHS,True,2021.0
MSR,MSR_1998_JMP,True,1998.0
MTQ,MTQ_2006_CEN,True,2006.0
MUS,MUS_2020_AFB,True,2020.0
MWI,MWI_2020_MICS,True,2020.0
MYS,MYS_2019_HIBAS,True,2019.0
NAM,NAM_2019_AFB,True,2019.0
NER,NER_2021_PMA,True,2021.0
NGA,NGA_2021_NORM,True,2021.0
NIC,NIC_2014_EMNV,True,2014.0
NLD,NLD_2015_EUSILC,True,2015.0
NOR,NOR_2015_EUSILC,True,2015.0
NPL,NPL_2019_MICS,True,2019.0
NZL,NZL_2012_ADM,True,2012.0
OMN,OMN_2016_CHS,True,2016.0
PAK,PAK_2020_MICSprov,True,2020.0
PAN,PAN_2019_ENSPA,True,2019.0
PER,PER_2021_ENAPRES,True,2021.0
PHL,PHL_2020_APIS,True,2020.0
PLW,PLW_2020_CEN,True,2020.0
PNG,PNG_2020_HFPS,True,2020.0
POL,POL_2019_SO,True,2019.0
PRK,PRK_2017_MICS,True,2017.0
PRT,PRT_2021_ERSAR,True,2021.0
PRY,PRY_2020_EPH,True,2020.0
PSE,PSE_2021_SECS,True,2021.0
REU,REU_2008_CEN,True,2008.0
ROU,ROU_2015_EUSILC,True,2015.0
RUS,RUS_2020_RLMS,True,2020.0
RWA,RWA_2019_MIS,True,2019.0
SAU,SAU_2019_WHS,True,2019.0
SDN,SDN_2021_AFB,True,2021.0
SEN,SEN_2021_MIS,True,2021.0
SLB,SLB_2020_HFPS,True,2020.0
SLE,SLE_2022_WNO,True,2022.0
SLV,SLV_2021_EHPM,True,2021.0
SOM,SOM_2019_SHDS,True,2019.0
SRB,SRB_2019_MICS,True,2019.0
SSD,SSD_2020_SSNHHS,True,2020.0
STP,STP_2019_MICS,True,2019.0
SUR,SUR_2018_MICS,True,2018.0
SVK,SVK_2015_EUSILC,True,2015.0
SVN,SVN_2015_EUSILC,True,2015.0
SWE,SWE_2019_RETAR,True,2019.0
SWZ,SWZ_2021_AFB,True,2021.0
SYR,SYR_2022_HNO,True,2022.0
TCA,TCA_2020_MICS,True,2020.0
TCD,TCD_2019_MICS,True,2019.0
TGO,TGO_2021_AFB,True,2021.0
THA,THA_2021_SES,True,2021.0
TJK,TJK_2017_DHS,True,2017.0
TKM,TKM_2019_MICS,True,2019.0
TLS,TLS_2020_FNS,True,2020.0
TON,TON_2021_CEN,True,2021.0
TTO,TTO_2011_MICS,True,2011.0
TUN,TUN_2020_AFB,True,2020.0
TUR,TUR_2018_DHS,True,2018.0
TUV,TUV_2020_MICS,True,2020.0
TZA,TZA_2021_AFB,True,2021.0
UGA,UGA_2021_PMA,True,2021.0
UKR,UKR_2020_LCS,True,2020.0
URY,URY_2019_ECH,True,2019.0
USA,USA_2021_AHS,True,2021.0
UZB,UZB_2022_MICS,True,2022.0
VCT,VCT_2012_CEN,True,2012.0
VEN,VEN_2011_CEN,True,2011.0
VNM,VNM_2021_MICS,True,2021.0
VUT,VUT_2020_NSDP,True,2020.0
WSM,WSM_2020_MICS,True,2020.0
YEM,YEM_2019_WFP,True,2019.0
ZAF,ZAF_2021_GHS,True,2021.0
ZWE,ZWE_2019_MICS,True,2019.0
