context,technology,direction,threshold,hdi_crossing
Rural,flushSeptic,emergence,0.1,0.563
Rural,flushSewer,emergence,0.1,0.595
Rural,openDefecation,emergence,0.1,0.284
Rural,other,emergence,0.1,0.335
Rural,pitNoSlab,emergence,0.1,0.322
Rural,pitSlab,emergence,0.1,0.276
Rural,flushSeptic,emergence,0.25,0.68
Rural,flushSewer,emergence,0.25,0.731
Rural,openDefecation,emergence,0.25,0.299
Rural,other,emergence,0.25,0.393
Rural,pitSlab,emergence,0.25,0.305
Rural,flushSewer,emergence,0.5,0.802
Rural,openDefecation,emergence,0.5,0.322
Rural,compostingToilet,phase_out,0.01,0.658
Rural,flushPit,phase_out,0.01,0.838
Rural,flushSewer,phase_out,0.01,0.428
Rural,flushUnknown,phase_out,0.01,0.719
Rural,openDefecation,phase_out,0.01,0.775
Rural,other,phase_out,0.01,0.325
Rural,pitNoSlab,phase_out,0.01,0.636
Rural,pitSlab,phase_out,0.01,0.944
Rural,flushPit,phase_out,0.02,0.647
Rural,flushUnknown,phase_out,0.02,0.706
Rural,openDefecation,phase_out,0.02,0.764
Rural,other,phase_out,0.02,0.324
Rural,pitNoSlab,phase_out,0.02,0.622
Rural,pitSlab,phase_out,0.02,0.938
Rural,flushPit,phase_out,0.05,0.63
Rural,flushUnknown,phase_out,0.05,0.662
Rural,openDefecation,phase_out,0.05,0.706
Rural,other,phase_out,0.05,0.322
Rural,pitNoSlab,phase_out,0.05,0.602
Rural,pitSlab,phase_out,0.05,0.87
Rural,flushSeptic,phase_out,0.1,0.898
Rural,openDefecation,phase_out,0.1,0.646
Rural,other,phase_out,0.1,0.32
Rural,pitNoSlab,phase_out,0.1,0.489
Rural,pitSlab,phase_out,0.1,0.851
Urban,flushSeptic,emergence,0.1,0.491
Urban,flushSewer,emergence,0.1,0.288
Urban,flushUnknown,emergence,0.1,0.295
Urban,openDefecation,emergence,0.1,0.318
Urban,other,emergence,0.1,0.333
Urban,pitNoSlab,emergence,0.1,0.314
Urban,pitSlab,emergence,0.1,0.275
Urban,flushSewer,emergence,0.25,0.591
Urban,openDefecation,emergence,0.25,0.361
Urban,other,emergence,0.25,0.228
Urban,pitSlab,emergence,0.25,0.283
Urban,flushSewer,emergence,0.5,0.669
Urban,other,emergence,0.5,0.246
Urban,pitSlab,emergence,0.5,0.295
Urban,bucketLatrine,phase_out,0.01,0.457
Urban,flushOpen,phase_out,0.01,0.488
Urban,flushPit,phase_out,0.01,0.442
Urban,flushUnknown,phase_out,0.01,0.323
Urban,openDefecation,phase_out,0.01,0.733
Urban,other,phase_out,0.01,0.932
Urban,pitNoSlab,phase_out,0.01,0.626
Urban,pitSlab,phase_out,0.01,0.944
Urban,flushPit,phase_out,0.02,0.738
Urban,flushUnknown,phase_out,0.02,0.321
Urban,openDefecation,phase_out,0.02,0.684
Urban,other,phase_out,0.02,0.3
Urban,pitNoSlab,phase_out,0.02,0.597
Urban,pitSlab,phase_out,0.02,0.938
Urban,flushPit,phase_out,0.05,0.608
Urban,flushSewer,phase_out,0.05,0.322
Urban,flushUnknown,phase_out,0.05,0.315
Urban,openDefecation,phase_out,0.05,0.638
Urban,other,phase_out,0.05,0.299
Urban,pitNoSlab,phase_out,0.05,0.572
Urban,pitSlab,phase_out,0.05,0.867
Urban,flushSeptic,phase_out,0.1,0.865
Urban,flushSewer,phase_out,0.1,0.314
Urban,flushUnknown,phase_out,0.1,0.305
Urban,openDefecation,phase_out,0.1,0.5
Urban,other,phase_out,0.1,0.298
Urban,pitNoSlab,phase_out,0.1,0.394
Urban,pitSlab,phase_out,0.1,0.275
