scenario,year,alpha3,cattle,cattle_i,cattle_fgi,cattle_fge,cattle_foi,cattle_foe,cattle_e,buffaloes,buffaloes_i,buffaloes_fgi,buffaloes_fge,buffaloes_foi,buffaloes_foe,buffaloes_e,pigs,pigs_i,pigs_fgi,pigs_fge,pigs_foi,pigs_foe,pigs_e,poultry,poultry_i,poultry_fgi,poultry_fge,poultry_foi,poultry_foe,poultry_e,sheep,sheep_i,sheep_fgi,sheep_fge,sheep_foi,sheep_foe,sheep_e,goats,goats_i,goats_fgi,goats_fge,goats_foi,goats_foe,goats_e,horses,horses_i,horses_fgi,horses_fge,horses_foi,horses_foe,horses_e,asses,asses_i,asses_fgi,asses_fge,asses_foi,asses_foe,asses_e,mules,mules_i,mules_fgi,mules_fge,mules_foi,mules_foe,mules_e,camels,camels_i,camels_fgi,camels_fge,camels_foi,camels_foe,camels_e
SSP1,2030,ABW,0,0.518,0.7,0.95,0.0,0.0,0.482,0,0.75,0.45,0.95,0.0,0.0,0.25,0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.568,0.9,0.95,0.0,0.0,0.432,0,0.568,0.9,0.95,0.0,0.0,0.432,0,0.4,0.9,0.95,0.0,0.0,0.6,0,0.4,0.9,0.95,0.0,0.0,0.6,0,0.4,0.9,0.95,0.0,0.0,0.6,0,0.4,0.9,0.95,0.0,0.0,0.6
SSP1,2030,AFG,2551137,0.513,0.2,0.5,0.7,0.7,0.487,0,0.93,0.1,0.5,0.7,0.7,0.07,0,1.0,0.0,1.0,0.2,0.2,0.0,11660720,1.0,0.0,1.0,0.05,0.05,0.0,11612792,0.764,0.45,0.5,0.0,0.0,0.236,7639530,0.764,0.45,0.5,0.0,0.0,0.236,173000,0.6,0.45,0.5,0.0,0.0,0.4,1481000,0.6,0.45,0.5,0.0,0.0,0.4,24500,0.6,0.45,0.5,0.0,0.0,0.4,170000,0.6,0.45,0.5,0.0,0.0,0.4
SSP1,2030,AGO,4844496,0.157,0.6,0.93,0.0,0.0,0.843,0,0.11,0.45,0.93,0.0,0.0,0.89,3016383,1.0,0.0,1.0,0.0,0.0,0.0,47112138,1.0,0.0,1.0,0.0,0.0,0.0,1430781,0.0,0.8,0.9,0.0,0.0,1.0,5357678,0.0,0.8,0.9,0.0,0.0,1.0,1008,0.01,0.8,0.9,0.0,0.0,0.99,4499,0.01,0.8,0.9,0.0,0.0,0.99,0,0.01,0.8,0.9,0.0,0.0,0.99,0,0.01,0.8,0.9,0.0,0.0,0.99
SSP1,2030,AIA,0,0.518,0.7,0.95,0.0,0.0,0.482,0,0.75,0.45,0.95,0.0,0.0,0.25,0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.568,0.9,0.95,0.0,0.0,0.432,0,0.568,0.9,0.95,0.0,0.0,0.432,0,0.4,0.9,0.95,0.0,0.0,0.6,0,0.4,0.9,0.95,0.0,0.0,0.6,0,0.4,0.9,0.95,0.0,0.0,0.6,0,0.4,0.9,0.95,0.0,0.0,0.6
SSP1,2030,ALB,128162,1.0,0.6,1.0,0.08,0.08,0.0,106,1.0,0.4,1.0,0.08,0.08,0.0,1364783,1.0,0.0,1.0,0.0,0.0,0.0,13656046,1.0,0.0,1.0,0.0,0.0,0.0,1510267,1.0,0.9,1.0,0.0,0.0,0.0,789698,1.0,0.9,1.0,0.0,0.0,0.0,31000,1.0,0.9,1.0,0.0,0.0,0.0,53199,1.0,0.9,1.0,0.0,0.0,0.0,5031,1.0,0.9,1.0,0.0,0.0,0.0,0,1.0,0.9,1.0,0.0,0.0,0.0
SSP1,2030,AND,0,1.0,0.6,0.9,0.0,0.0,0.0,0,1.0,0.4,0.9,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0,0.9,1.0,0.0,0.0,0.0,0,1.0,0.9,1.0,0.0,0.0,0.0,0,1.0,0.9,1.0,0.0,0.0,0.0,0,1.0,0.9,1.0,0.0,0.0,0.0,0,1.0,0.9,1.0,0.0,0.0,0.0,0,1.0,0.9,1.0,0.0,0.0,0.0
SSP1,2030,ANT,245,0.518,0.7,0.95,0.0,0.0,0.482,0,0.75,0.45,0.95,0.0,0.0,0.25,2619,1.0,0.0,1.0,0.0,0.0,0.0,126047,1.0,0.0,1.0,0.0,0.0,0.0,10352,0.568,0.9,0.95,0.0,0.0,0.432,10352,0.568,0.9,0.95,0.0,0.0,0.432,0,0.4,0.9,0.95,0.0,0.0,0.6,2750,0.4,0.9,0.95,0.0,0.0,0.6,0,0.4,0.9,0.95,0.0,0.0,0.6,0,0.4,0.9,0.95,0.0,0.0,0.6
SSP1,2030,ARE,111093,0.643,0.35,0.95,0.18,0.18,0.357,0,0.96,0.15,0.95,0.18,0.18,0.04,0,1.0,0.0,1.0,0.0,0.0,0.0,19143135,1.0,0.0,1.0,0.0,0.0,0.0,2515098,0.971,0.5,0.9,0.0,0.0,0.029,2758334,0.971,0.5,0.9,0.0,0.0,0.029,421,0.92,0.5,0.9,0.0,0.0,0.08,0,0.92,0.5,0.9,0.0,0.0,0.08,0,0.92,0.5,0.9,0.0,0.0,0.08,430372,0.92,0.5,0.9,0.0,0.0,0.08
SSP1,2030,ARG,49491634,0.64,0.7,0.95,0.0,0.0,0.36,0,0.68,0.45,0.95,0.0,0.0,0.32,4335789,1.0,0.0,1.0,0.0,0.0,0.0,126213842,1.0,0.0,1.0,0.0,0.0,0.0,14858582,0.552,0.9,0.95,0.0,0.0,0.448,4922856,0.552,0.9,0.95,0.0,0.0,0.448,2447307,0.4,0.9,0.95,0.0,0.0,0.6,99399,0.4,0.9,0.95,0.0,0.0,0.6,185301,0.4,0.9,0.95,0.0,0.0,0.6,0,0.4,0.9,0.95,0.0,0.0,0.6
SSP1,2030,ARM,314732,1.0,0.6,1.0,0.08,0.08,0.0,720,1.0,0.5,1.0,0.08,0.08,0.0,163564,1.0,0.0,1.0,0.0,0.0,0.0,5727445,1.0,0.0,1.0,0.0,0.0,0.0,536509,1.0,0.9,1.0,0.0,0.0,0.0,15139,1.0,0.9,1.0,0.0,0.0,0.0,11430,1.0,0.9,1.0,0.0,0.0,0.0,3334,1.0,0.9,1.0,0.0,0.0,0.0,74,1.0,0.9,1.0,0.0,0.0,0.0,0,1.0,0.9,1.0,0.0,0.0,0.0
SSP1,2030,ASM,87,0.406,0.75,1.0,0.0,0.0,0.594,0,0.12,0.6,1.0,0.0,0.0,0.88,10875,1.0,0.0,1.0,0.55,0.55,0.0,67549,1.0,0.0,1.0,0.0,0.0,0.0,0,0.344,0.8,0.9,0.0,0.0,0.656,0,0.344,0.8,0.9,0.0,0.0,0.656,0,0.18,0.8,0.9,0.0,0.0,0.82,0,0.18,0.8,0.9,0.0,0.0,0.82,0,0.18,0.8,0.9,0.0,0.0,0.82,0,0.18,0.8,0.9,0.0,0.0,0.82
SSP1,2030,ATF,0,0.406,0.75,1.0,0.0,0.0,0.594,0,0.12,0.6,1.0,0.0,0.0,0.88,0,1.0,0.0,1.0,0.55,0.55,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.344,0.8,0.9,0.0,0.0,0.656,0,0.344,0.8,0.9,0.0,0.0,0.656,0,0.18,0.8,0.9,0.0,0.0,0.82,0,0.18,0.8,0.9,0.0,0.0,0.82,0,0.18,0.8,0.9,0.0,0.0,0.82,0,0.18,0.8,0.9,0.0,0.0,0.82
SSP1,2030,ATG,1438,0.518,0.7,0.95,0.0,0.0,0.482,0,0.75,0.45,0.95,0.0,0.0,0.25,4567,1.0,0.0,1.0,0.0,0.0,0.0,122033,1.0,0.0,1.0,0.0,0.0,0.0,8226,0.568,0.9,0.95,0.0,0.0,0.432,27585,0.568,0.9,0.95,0.0,0.0,0.432,493,0.4,0.9,0.95,0.0,0.0,0.6,1702,0.4,0.9,0.95,0.0,0.0,0.6,0,0.4,0.9,0.95,0.0,0.0,0.6,0,0.4,0.9,0.95,0.0,0.0,0.6
SSP1,2030,AUS,26111676,0.406,0.75,1.0,0.0,0.0,0.594,0,0.12,0.6,1.0,0.0,0.0,0.88,2353219,1.0,0.0,1.0,0.55,0.55,0.0,153612326,1.0,0.0,1.0,0.0,0.0,0.0,75987825,0.344,0.8,0.9,0.0,0.0,0.656,5172498,0.344,0.8,0.9,0.0,0.0,0.656,272739,0.18,0.8,0.9,0.0,0.0,0.82,1957,0.18,0.8,0.9,0.0,0.0,0.82,0,0.18,0.8,0.9,0.0,0.0,0.82,0,0.18,0.8,0.9,0.0,0.0,0.82
SSP1,2030,AUT,1277424,1.0,0.6,0.9,0.0,0.0,0.0,0,1.0,0.4,0.9,0.0,0.0,0.0,2444060,1.0,0.0,1.0,0.0,0.0,0.0,20955642,1.0,0.0,1.0,0.0,0.0,0.0,280435,1.0,0.9,1.0,0.0,0.0,0.0,68728,1.0,0.9,1.0,0.0,0.0,0.0,89782,1.0,0.9,1.0,0.0,0.0,0.0,0,1.0,0.9,1.0,0.0,0.0,0.0,0,1.0,0.9,1.0,0.0,0.0,0.0,0,1.0,0.9,1.0,0.0,0.0,0.0
