alpha3,FractionPrimarytreatment,FractionSecondarytreatment,FractionTertiarytreatment,FractionQuaternarytreatment
ABW,0.1295,0.0,0.0,0.0
AFG,0.0239,0.0,0.0,0.0
AGO,0.12,0.0,0.0,0.0
AIA,0.03,0.0,0.0,0.0
ALB,0.08,0.09,0.0,0.0
AND,0.0,0.865,0.0,0.0
ARE,0.0,0.858,0.0,0.0
ARG,0.2041,0.0,0.0,0.0
ARM,0.292,0.0,0.0,0.0
ASM,0.0,0.6557,0.0,0.0
ATG,0.0,0.0,0.0,0.0
AUS,0.1729,0.1026,0.3696,0.0
AUT,0.0,0.013,0.926,0.0
AZE,0.35,0.0,0.0,0.0
BDI,0.0066,0.0,0.0,0.0
BEL,0.0,0.086,0.664,0.0
BEN,0.0179,0.0,0.0,0.0
BES,0.1295,0.0,0.0,0.0
BFA,0.0179,0.0,0.0,0.0
BGD,0.0239,0.0,0.0,0.0
BGR,0.027,0.183,0.268,0.0
BHR,0.0,0.0,0.844,0.0
BHS,0.07,0.0,0.0,0.0
BIH,0.1642,0.0229,0.0062,0.0
BLM,0.0,0.0,0.0,0.0
BLR,0.0787,0.47,0.1682,0.0
BLZ,0.0528,0.0,0.0,0.0
BMU,0.0,0.0,0.0,0.0
BOL,0.084,0.0,0.0,0.0
BRA,0.0847,0.1162,0.0221,0.0
BRB,0.023,0.0,0.0,0.0
BRN,0.0,0.4,0.0,0.0
BTN,0.0239,0.0,0.0,0.0
BWA,0.0178,0.0,0.0,0.0
CAF,0.0179,0.0,0.0,0.0
CAN,0.1314,0.4354,0.1232,0.0
CHE,0.0,0.2,0.78,0.0
CHL,0.1937,0.1937,0.1937,0.0
CHN,0.1,0.2,0.0,0.0
CIV,0.0179,0.0,0.0,0.0
CMR,0.0179,0.0,0.0,0.0
COD,0.0179,0.0,0.0,0.0
COG,0.0179,0.0,0.0,0.0
COL,0.108,0.0,0.0,0.0
COM,0.0066,0.0,0.0,0.0
CPV,0.173,0.0,0.0,0.0
CRI,0.0826,0.0,0.0,0.0
CUB,0.154,0.0,0.0,0.0
CUW,0.1295,0.0,0.0,0.0
CYM,0.0,0.0,0.0,0.0
CYP,0.0,0.5398,0.0,0.0
CZE,0.001,0.087,0.682,0.0
DEU,0.027,0.03,0.926,0.0
DJI,0.0066,0.0,0.0,0.0
DMA,0.0,0.0,0.0,0.0
DNK,0.024,0.024,0.856,0.0
DOM,0.12,0.0,0.0,0.0
DZA,0.127,0.0,0.0,0.0
ECU,0.138,0.0,0.0,0.0
EGY,0.189,0.189,0.0,0.0
ERI,0.0066,0.0,0.0,0.0
ESH,0.0,0.2871,0.0,0.0
ESP,0.03,0.33,0.6,0.0
EST,0.005,0.136,0.647,0.0
ETH,0.0066,0.0,0.0,0.0
FIN,0.0,0.0,0.83,0.0
FJI,0.0,0.0,0.0,0.0
FLK,0.0,0.2041,0.0,0.0
FRA,0.0,0.132,0.645,0.0
FRO,0.0,0.8813,0.0,0.0
FSM,0.0,0.0,0.0,0.0
GAB,0.0179,0.0,0.0,0.0
GBR,0.0,0.45,0.499,0.0
GEO,0.03,0.0,0.0,0.0
GHA,0.0179,0.0,0.0,0.0
GIB,0.0,0.0,0.0,0.0
GIN,0.01,0.0,0.0,0.0
GLP,0.0,0.3804,0.0,0.0
GMB,0.0179,0.0,0.0,0.0
GNB,0.0179,0.0,0.0,0.0
GNQ,0.0179,0.0,0.0,0.0
GRC,0.231,0.231,0.231,0.0
GRD,0.0,0.0,0.0,0.0
GRL,0.0,0.882,0.0,0.0
GTM,0.05,0.0,0.0,0.0
GUF,0.0,0.2041,0.0,0.0
GUM,0.0,0.0,0.0,0.0
GUY,0.05,0.0,0.0,0.0
HKG,0.0,0.3065,0.0,0.0
HND,0.1,0.0,0.0,0.0
HRV,0.273,0.22,0.0,0.0
HTI,0.0,0.0,0.0,0.0
HUN,0.023,0.364,0.331,0.0
IDN,0.019,0.0,0.0,0.0
IMN,0.0,0.0,0.0,0.0
IND,0.023,0.0,0.0,0.0
IRL,0.2093,0.3,0.11,0.0
IRN,0.22,0.0,0.0,0.0
IRQ,0.123,0.0,0.0,0.0
ISL,0.9,0.0,0.01,0.0
ISR,0.0542,0.359,0.4608,0.0
ITA,0.025,0.194,0.381,0.0
JAM,0.08,0.0,0.0,0.0
JOR,0.0,0.598,0.0,0.0
JPN,0.0,0.506,0.184,0.0
KAZ,0.0604,0.3206,0.0,0.0
KEN,0.049,0.0,0.0,0.0
KGZ,0.143,0.0,0.0,0.0
KHM,0.0319,0.0,0.0,0.0
KIR,0.0,0.0,0.0,0.0
KNA,0.0,0.0,0.0,0.0
KOR,0.592,0.296,0.0,0.0
KWT,0.0,0.1,0.9,0.0
LAO,0.1016,0.0,0.0,0.0
LBN,0.103,0.0,0.0,0.0
LBR,0.0179,0.0,0.0,0.0
LBY,0.101,0.0,0.0,0.0
LCA,0.0,0.0,0.0,0.0
LIE,0.0,0.8813,0.0,0.0
LKA,0.03,0.0,0.0,0.0
LSO,0.0178,0.0,0.0,0.0
LTU,0.1575,0.0689,0.4325,0.0
LUX,0.044,0.62,0.25,0.0
LVA,0.045,0.42,0.161,0.0
MAC,0.0,0.0,0.0,0.0
MAF,0.0,0.0,0.0,0.0
MAR,0.198,0.0,0.0,0.0
MCO,0.0,0.0,0.0,0.0
MDA,0.0,0.265,0.0,0.0
MDG,0.0066,0.0,0.0,0.0
MDV,0.0,0.0,0.0,0.0
MEX,0.0275,0.2405,0.0,0.0
MHL,0.0,0.0,0.0,0.0
MKD,0.07,0.0,0.0,0.0
MLI,0.007,0.0,0.0,0.0
MLT,0.135,0.066,0.0,0.0
MMR,0.01,0.0,0.0,0.0
MNE,0.007,0.074,0.012,0.0
MNG,0.038,0.0,0.0,0.0
MNP,0.0,0.0,0.0,0.0
MOZ,0.0178,0.0,0.0,0.0
MRT,0.0179,0.0,0.0,0.0
MSR,0.1295,0.0,0.0,0.0
MTQ,0.1295,0.0,0.0,0.0
MUS,0.16,0.0,0.0,0.0
MWI,0.0178,0.0,0.0,0.0
MYS,0.639,0.0,0.0,0.0
MYT,0.0,0.0,0.0,0.0
NAM,0.19,0.0,0.0,0.0
NCL,0.0,0.0,0.0,0.0
NER,0.002,0.0,0.0,0.0
NGA,0.021,0.0,0.0,0.0
NIC,0.03,0.0,0.0,0.0
NIU,0.0,0.0,0.0,0.0
NLD,0.0,0.013,0.98,0.0
NOR,0.219,0.016,0.576,0.0
NPL,0.0239,0.0,0.0,0.0
NRU,0.0,0.0,0.0,0.0
NZL,0.1033,0.2419,0.3952,0.0
OMN,0.098,0.0,0.0,0.0
PAK,0.15,0.0,0.0,0.0
PAN,0.15,0.0,0.0,0.0
PER,0.25,0.0,0.0,0.0
PHL,0.016,0.0,0.0,0.0
PLW,0.0,0.0,0.0,0.0
PNG,0.019,0.0,0.0,0.0
POL,0.001,0.149,0.496,0.0
PRI,0.64,0.0,0.0,0.0
PRK,0.377,0.1885,0.0,0.0
PRT,0.036,0.394,0.164,0.0
PRY,0.051,0.0,0.0,0.0
PSE,0.0,0.0,0.0,0.0
PYF,0.0,0.0,0.0,0.0
QAT,0.0,0.0,0.769,0.0
REU,0.0066,0.0,0.0,0.0
ROU,0.087,0.213,0.007,0.0
RUS,0.0245,0.4645,0.0,0.0
RWA,0.0066,0.0,0.0,0.0
SAU,0.0,0.2134,0.2516,0.0
SDN,0.0066,0.0,0.0,0.0
SEN,0.022,0.0,0.0,0.0
SGP,0.0,0.0,1.0,0.0
SHN,0.0,0.0,0.0,0.0
SLB,0.0,0.0,0.0,0.0
SLE,0.001,0.0,0.0,0.0
SLV,0.0283,0.0,0.0,0.0
SMR,0.0,0.0,0.0,0.0
SOM,0.0066,0.0,0.0,0.0
SPM,0.0,0.0,0.0,0.0
SRB,0.007,0.074,0.012,0.0
SSD,0.0066,0.0,0.0,0.0
STP,0.0,0.0,0.0,0.0
