year,ssp,alpha3,FractionPrimarytreatment,FractionSecondarytreatment,FractionTertiarytreatment,FractionQuarternarytreatment
2025,SSP1,ABW,0.08,0.00,0.11,0.15
2025,SSP1,AFG,0.06,0.08,0.01,0.00
2025,SSP1,AGO,0.09,0.04,0.03,0.00
2025,SSP1,AIA,0.03,0.00,0.10,0.13
2025,SSP1,ALB,0.09,0.22,0.02,0.00
2025,SSP1,AND,0.02,0.57,0.33,0.00
2025,SSP1,ARE,0.12,0.47,0.25,0.00
2025,SSP1,ARG,0.22,0.20,0.03,0.00
2025,SSP1,ARM,0.26,0.21,0.01,0.00
2025,SSP1,ASM,0.05,0.31,0.19,0.00
2025,SSP1,AUS,0.17,0.23,0.41,0.00
2025,SSP1,AUT,0.00,0.01,0.80,0.17
2025,SSP1,AZE,0.17,0.14,0.02,0.00
2025,SSP1,BDI,0.09,0.06,0.01,0.00
2025,SSP1,BEL,0.00,0.07,0.62,0.18
2025,SSP1,BEN,0.04,0.08,0.02,0.00
2025,SSP1,BFA,0.05,0.08,0.01,0.00
2025,SSP1,BGD,0.02,0.12,0.02,0.00
2025,SSP1,BGR,0.01,0.23,0.23,0.17
2025,SSP1,BHR,0.12,0.16,0.48,0.18
2025,SSP1,BHS,0.07,0.00,0.05,0.07
2025,SSP1,BIH,0.07,0.20,0.03,0.00
2025,SSP1,BLR,0.03,0.47,0.30,0.00
2025,SSP1,BLZ,0.05,0.02,0.09,0.00
2025,SSP1,BOL,0.15,0.18,0.01,0.00
2025,SSP1,BRA,0.15,0.26,0.04,0.00
2025,SSP1,BRB,0.02,0.01,0.02,0.03
2025,SSP1,BRN,0.00,0.25,0.14,0.00
2025,SSP1,BTN,0.02,0.02,0.11,0.00
2025,SSP1,BWA,0.05,0.00,0.02,0.03
2025,SSP1,CAF,0.07,0.07,0.00,0.00
2025,SSP1,CAN,0.11,0.46,0.22,0.00
2025,SSP1,CHE,0.00,0.15,0.71,0.18
2025,SSP1,CHL,0.15,0.20,0.42,0.00
2025,SSP1,CHN,0.11,0.10,0.12,0.17
2025,SSP1,CIV,0.04,0.12,0.02,0.00
2025,SSP1,CMR,0.01,0.09,0.02,0.00
2025,SSP1,COD,0.10,0.07,0.03,0.00
2025,SSP1,COG,0.01,0.01,0.12,0.00
2025,SSP1,COL,0.33,0.18,0.01,0.00
2025,SSP1,COM,0.02,0.12,0.01,0.00
2025,SSP1,CPV,0.13,0.08,0.03,0.00
2025,SSP1,CRI,0.04,0.00,0.07,0.10
2025,SSP1,CUB,0.15,0.17,0.01,0.00
2025,SSP1,CYP,0.00,0.32,0.17,0.00
2025,SSP1,CZE,0.00,0.07,0.62,0.17
2025,SSP1,DEU,0.01,0.02,0.81,0.18
2025,SSP1,DJI,0.03,0.09,0.04,0.00
2025,SSP1,DMA,0.05,0.00,0.07,0.10
2025,SSP1,DNK,0.02,0.02,0.76,0.17
2025,SSP1,DOM,0.16,0.03,0.07,0.10
2025,SSP1,DZA,0.33,0.14,0.02,0.00
2025,SSP1,ECU,0.16,0.14,0.01,0.00
2025,SSP1,EGY,0.17,0.22,0.07,0.00
2025,SSP1,ERI,0.07,0.07,0.01,0.00
2025,SSP1,ESH,0.05,0.31,0.06,0.00
2025,SSP1,ESP,0.02,0.24,0.57,0.18
2025,SSP1,EST,0.01,0.10,0.60,0.17
2025,SSP1,ETH,0.04,0.10,0.01,0.00
2025,SSP1,FIN,0.00,0.00,0.74,0.18
2025,SSP1,FJI,0.13,0.11,0.02,0.00
2025,SSP1,FLK,0.07,0.30,0.03,0.00
2025,SSP1,FRA,0.00,0.22,0.49,0.17
2025,SSP1,FRO,0.03,0.56,0.29,0.00
2025,SSP1,GAB,0.03,0.09,0.01,0.00
2025,SSP1,GBR,0.00,0.35,0.49,0.18
2025,SSP1,GEO,0.17,0.18,0.01,0.00
2025,SSP1,GHA,0.02,0.10,0.02,0.00
2025,SSP1,GIN,0.05,0.11,0.01,0.00
2025,SSP1,GLP,0.12,0.21,0.12,0.00
2025,SSP1,GMB,0.05,0.08,0.00,0.00
2025,SSP1,GNB,0.06,0.08,0.01,0.00
2025,SSP1,GNQ,0.03,0.04,0.00,0.00
2025,SSP1,GRC,0.09,0.11,0.50,0.17
2025,SSP1,GRD,0.02,0.00,0.06,0.08
2025,SSP1,GRL,0.01,0.40,0.48,0.00
2025,SSP1,GTM,0.13,0.15,0.09,0.00
2025,SSP1,GUF,0.08,0.17,0.08,0.00
2025,SSP1,GUY,0.02,0.01,0.06,0.00
2025,SSP1,HKG,0.29,0.16,0.13,0.18
2025,SSP1,HND,0.15,0.22,0.02,0.00
2025,SSP1,HRV,0.14,0.22,0.09,0.00
2025,SSP1,HTI,0.00,0.12,0.02,0.00
2025,SSP1,HUN,0.04,0.24,0.37,0.17
2025,SSP1,IDN,0.01,0.04,0.10,0.00
2025,SSP1,IND,0.04,0.07,0.07,0.00
2025,SSP1,IRL,0.09,0.30,0.19,0.15
2025,SSP1,IRN,0.09,0.13,0.03,0.00
2025,SSP1,IRQ,0.07,0.08,0.05,0.00
2025,SSP1,ISL,0.56,0.01,0.24,0.00
2025,SSP1,ISR,0.04,0.28,0.48,0.18
2025,SSP1,ITA,0.03,0.20,0.47,0.00
2025,SSP1,JAM,0.08,0.09,0.03,0.00
2025,SSP1,JOR,0.10,0.48,0.09,0.00
2025,SSP1,JPN,0.00,0.39,0.25,0.16
2025,SSP1,KAZ,0.13,0.15,0.16,0.00
2025,SSP1,KEN,0.03,0.13,0.01,0.00
2025,SSP1,KGZ,0.11,0.12,0.02,0.00
2025,SSP1,KHM,0.04,0.12,0.02,0.00
2025,SSP1,KNA,0.00,0.00,0.06,0.08
2025,SSP1,KOR,0.23,0.27,0.40,0.00
2025,SSP1,KWT,0.16,0.20,0.51,0.18
2025,SSP1,LAO,0.04,0.08,0.06,0.00
2025,SSP1,LBN,0.34,0.18,0.02,0.00
2025,SSP1,LBR,0.08,0.08,0.03,0.00
2025,SSP1,LBY,0.34,0.08,0.01,0.00
2025,SSP1,LCA,0.02,0.00,0.05,0.07
2025,SSP1,LIE,0.00,0.41,0.41,0.18
2025,SSP1,LKA,0.02,0.00,0.09,0.00
2025,SSP1,LSO,0.01,0.08,0.03,0.00
2025,SSP1,LTU,0.08,0.08,0.48,0.17
2025,SSP1,LUX,0.03,0.42,0.38,0.18
2025,SSP1,LVA,0.02,0.25,0.32,0.17
2025,SSP1,MAR,0.26,0.17,0.02,0.00
2025,SSP1,MDA,0.04,0.29,0.04,0.00
2025,SSP1,MDG,0.05,0.09,0.01,0.00
2025,SSP1,MEX,0.16,0.28,0.05,0.00
2025,SSP1,MKD,0.05,0.18,0.05,0.00
2025,SSP1,MLI,0.05,0.08,0.02,0.00
2025,SSP1,MLT,0.05,0.32,0.12,0.00
2025,SSP1,MMR,0.01,0.05,0.05,0.00
2025,SSP1,MNG,0.08,0.00,0.10,0.13
2025,SSP1,MOZ,0.06,0.08,0.02,0.00
2025,SSP1,MRT,0.01,0.08,0.02,0.00
2025,SSP1,MSR,0.10,0.00,0.16,0.00
2025,SSP1,MTQ,0.18,0.17,0.03,0.00
2025,SSP1,MUS,0.13,0.03,0.09,0.00
2025,SSP1,MWI,0.07,0.07,0.01,0.00
2025,SSP1,MYS,0.36,0.09,0.14,0.00
2025,SSP1,NAM,0.15,0.15,0.02,0.00
2025,SSP1,NCL,0.04,0.12,0.09,0.00
2025,SSP1,NER,0.07,0.05,0.02,0.00
2025,SSP1,NGA,0.01,0.10,0.03,0.00
2025,SSP1,NIC,0.07,0.10,0.07,0.00
2025,SSP1,NLD,0.00,0.01,0.85,0.18
2025,SSP1,NOR,0.16,0.01,0.55,0.17
2025,SSP1,NPL,0.05,0.11,0.01,0.00
2025,SSP1,NZL,0.06,0.19,0.44,0.17
2025,SSP1,OMN,0.04,0.16,0.03,0.05
2025,SSP1,PAK,0.15,0.14,0.01,0.00
2025,SSP1,PAN,0.16,0.02,0.09,0.12
2025,SSP1,PER,0.26,0.20,0.03,0.00
2025,SSP1,PHL,0.02,0.04,0.07,0.00
2025,SSP1,PNG,0.01,0.12,0.01,0.00
2025,SSP1,POL,0.00,0.11,0.49,0.17
2025,SSP1,PRI,0.39,0.25,0.02,0.00
2025,SSP1,PRK,0.19,0.16,0.11,0.00
2025,SSP1,PRT,0.04,0.37,0.26,0.00
2025,SSP1,PRY,0.04,0.01,0.07,0.09
2025,SSP1,QAT,0.11,0.12,0.44,0.16
2025,SSP1,REU,0.19,0.07,0.01,0.00
2025,SSP1,ROU,0.07,0.17,0.10,0.14
2025,SSP1,RUS,0.06,0.36,0.13,0.00
2025,SSP1,RWA,0.03,0.10,0.01,0.00
2025,SSP1,SAU,0.07,0.14,0.19,0.12
2025,SSP1,SEN,0.06,0.09,0.02,0.00
2025,SSP1,SGP,0.01,0.17,0.69,0.18
2025,SSP1,SLB,0.15,0.07,0.01,0.00
2025,SSP1,SLE,0.05,0.08,0.01,0.00
2025,SSP1,SLV,0.04,0.14,0.03,0.00
2025,SSP1,SOM,0.19,0.03,0.00,0.00
2025,SSP1,SPM,0.13,0.16,0.07,0.00
2025,SSP1,STP,0.05,0.09,0.00,0.00
2025,SSP1,SUR,0.00,0.00,0.04,0.05
2025,SSP1,SVK,0.12,0.32,0.24,0.00
2025,SSP1,SVN,0.01,0.26,0.22,0.14
2025,SSP1,SWE,0.00,0.03,0.73,0.17
2025,SSP1,SWZ,0.02,0.03,0.05,0.00
