alpha3,scenario,year,fractionUrban
AFG,SSP1,2025,0.316
AFG,SSP1,2030,0.343
AFG,SSP1,2050,0.457
AFG,SSP1,2100,0.713
ALB,SSP1,2025,0.601
ALB,SSP1,2030,0.627
ALB,SSP1,2050,0.718
ALB,SSP1,2100,0.842
DZA,SSP1,2025,0.744
DZA,SSP1,2030,0.763
DZA,SSP1,2050,0.815
DZA,SSP1,2100,0.921
ASM,SSP1,2025,0.915
ASM,SSP1,2030,0.926
ASM,SSP1,2050,0.96
ASM,SSP1,2100,0.999
AND,SSP1,2025,0.925
AND,SSP1,2030,0.935
AND,SSP1,2050,0.966
AND,SSP1,2100,0.999
AGO,SSP1,2025,0.69
AGO,SSP1,2030,0.718
AGO,SSP1,2050,0.797
AGO,SSP1,2100,0.921
ARG,SSP1,2025,0.939
ARG,SSP1,2030,0.948
ARG,SSP1,2050,0.973
ARG,SSP1,2100,0.999
ARM,SSP1,2025,0.701
ARM,SSP1,2030,0.72
ARM,SSP1,2050,0.78
ARM,SSP1,2100,0.883
AUS,SSP1,2025,0.897
AUS,SSP1,2030,0.909
AUS,SSP1,2050,0.947
AUS,SSP1,2100,0.997
AZE,SSP1,2025,0.611
AZE,SSP1,2030,0.636
AZE,SSP1,2050,0.721
AZE,SSP1,2100,0.838
BHS,SSP1,2025,0.849
BHS,SSP1,2030,0.855
BHS,SSP1,2050,0.911
BHS,SSP1,2100,0.989
BHR,SSP1,2025,0.922
BHR,SSP1,2030,0.932
BHR,SSP1,2050,0.963
BHR,SSP1,2100,0.999
BGD,SSP1,2025,0.405
BGD,SSP1,2030,0.44
BGD,SSP1,2050,0.572
BGD,SSP1,2100,0.792
BLR,SSP1,2025,0.796
BLR,SSP1,2030,0.808
BLR,SSP1,2050,0.847
BLR,SSP1,2100,0.956
BEL,SSP1,2025,0.992
BEL,SSP1,2030,0.994
BEL,SSP1,2050,0.999
BEL,SSP1,2100,1.0
BEN,SSP1,2025,0.534
BEN,SSP1,2030,0.566
BEN,SSP1,2050,0.677
BEN,SSP1,2100,0.831
BTN,SSP1,2025,0.459
BTN,SSP1,2030,0.498
BTN,SSP1,2050,0.629
BTN,SSP1,2100,0.821
BOL,SSP1,2025,0.731
BOL,SSP1,2030,0.749
BOL,SSP1,2050,0.802
BOL,SSP1,2100,0.908
BIH,SSP1,2025,0.54
BIH,SSP1,2030,0.567
BIH,SSP1,2050,0.668
BIH,SSP1,2100,0.821
BWA,SSP1,2025,0.714
BWA,SSP1,2030,0.74
BWA,SSP1,2050,0.815
BWA,SSP1,2100,0.938
BRA,SSP1,2025,0.888
BRA,SSP1,2030,0.902
BRA,SSP1,2050,0.944
BRA,SSP1,2100,0.997
VGB,SSP1,2025,0.545
VGB,SSP1,2030,0.576
VGB,SSP1,2050,0.684
VGB,SSP1,2100,0.831
BRN,SSP1,2025,0.793
BRN,SSP1,2030,0.804
BRN,SSP1,2050,0.84
BRN,SSP1,2100,0.949
BGR,SSP1,2025,0.776
BGR,SSP1,2030,0.789
BGR,SSP1,2050,0.83
BGR,SSP1,2100,0.939
BFA,SSP1,2025,0.342
BFA,SSP1,2030,0.375
BFA,SSP1,2050,0.509
BFA,SSP1,2100,0.765
BDI,SSP1,2025,0.16
BDI,SSP1,2030,0.181
BDI,SSP1,2050,0.289
BDI,SSP1,2100,0.601
CPV,SSP1,2025,0.701
CPV,SSP1,2030,0.725
CPV,SSP1,2050,0.796
CPV,SSP1,2100,0.911
KHM,SSP1,2025,0.276
KHM,SSP1,2030,0.302
KHM,SSP1,2050,0.411
KHM,SSP1,2100,0.678
CMR,SSP1,2025,0.611
CMR,SSP1,2030,0.639
CMR,SSP1,2050,0.736
CMR,SSP1,2100,0.851
CAN,SSP1,2025,0.836
CAN,SSP1,2030,0.844
CAN,SSP1,2050,0.896
CAN,SSP1,2100,0.981
CAF,SSP1,2025,0.471
CAF,SSP1,2030,0.498
CAF,SSP1,2050,0.604
CAF,SSP1,2100,0.79
TCD,SSP1,2025,0.295
TCD,SSP1,2030,0.322
TCD,SSP1,2050,0.435
TCD,SSP1,2100,0.696
CHL,SSP1,2025,0.911
CHL,SSP1,2030,0.921
CHL,SSP1,2050,0.957
CHL,SSP1,2100,0.999
CHN,SSP1,2025,0.59
CHN,SSP1,2030,0.62
CHN,SSP1,2050,0.722
CHN,SSP1,2100,0.849
COL,SSP1,2025,0.816
COL,SSP1,2030,0.826
COL,SSP1,2050,0.866
COL,SSP1,2100,0.968
COM,SSP1,2025,0.359
COM,SSP1,2030,0.386
COM,SSP1,2050,0.497
COM,SSP1,2100,0.736
COG,SSP1,2025,0.705
COG,SSP1,2030,0.725
COG,SSP1,2050,0.788
COG,SSP1,2100,0.896
COK,SSP1,2025,0.781
COK,SSP1,2030,0.793
COK,SSP1,2050,0.833
COK,SSP1,2100,0.941
CRI,SSP1,2025,0.776
CRI,SSP1,2030,0.791
CRI,SSP1,2050,0.836
CRI,SSP1,2100,0.948
HRV,SSP1,2025,0.629
HRV,SSP1,2030,0.653
HRV,SSP1,2050,0.734
HRV,SSP1,2100,0.846
CUB,SSP1,2025,0.801
CUB,SSP1,2030,0.812
CUB,SSP1,2050,0.846
CUB,SSP1,2100,0.956
CUW,SSP1,2025,0.932
CUW,SSP1,2030,0.941
CUW,SSP1,2050,0.969
CUW,SSP1,2100,0.999
CYP,SSP1,2025,0.739
CYP,SSP1,2030,0.756
CYP,SSP1,2050,0.806
CYP,SSP1,2100,0.911
CZE,SSP1,2025,0.776
CZE,SSP1,2030,0.787
CZE,SSP1,2050,0.827
CZE,SSP1,2100,0.939
CIV,SSP1,2025,0.564
CIV,SSP1,2030,0.592
CIV,SSP1,2050,0.692
CIV,SSP1,2100,0.832
COD,SSP1,2025,0.483
COD,SSP1,2030,0.51
COD,SSP1,2050,0.616
COD,SSP1,2100,0.797
DNK,SSP1,2025,0.909
DNK,SSP1,2030,0.919
DNK,SSP1,2050,0.956
DNK,SSP1,2100,0.999
DJI,SSP1,2025,0.806
DJI,SSP1,2030,0.816
DJI,SSP1,2050,0.848
DJI,SSP1,2100,0.957
DMA,SSP1,2025,0.744
DMA,SSP1,2030,0.761
DMA,SSP1,2050,0.81
DMA,SSP1,2100,0.919
DOM,SSP1,2025,0.792
DOM,SSP1,2030,0.805
DOM,SSP1,2050,0.846
DOM,SSP1,2100,0.957
ECU,SSP1,2025,0.698
ECU,SSP1,2030,0.719
ECU,SSP1,2050,0.784
ECU,SSP1,2100,0.886
EGY,SSP1,2025,0.512
EGY,SSP1,2030,0.539
EGY,SSP1,2050,0.641
EGY,SSP1,2100,0.804
SLV,SSP1,2025,0.722
SLV,SSP1,2030,0.74
SLV,SSP1,2050,0.797
SLV,SSP1,2100,0.899
GNQ,SSP1,2025,0.737
GNQ,SSP1,2030,0.757
GNQ,SSP1,2050,0.814
GNQ,SSP1,2100,0.931
ERI,SSP1,2025,0.451
ERI,SSP1,2030,0.485
ERI,SSP1,2050,0.609
ERI,SSP1,2100,0.805
EST,SSP1,2025,0.738
EST,SSP1,2030,0.753
EST,SSP1,2050,0.802
EST,SSP1,2100,0.909
SWZ,SSP1,2025,0.311
SWZ,SSP1,2030,0.343
SWZ,SSP1,2050,0.468
SWZ,SSP1,2100,0.734
ETH,SSP1,2025,0.243
ETH,SSP1,2030,0.268
ETH,SSP1,2050,0.377
ETH,SSP1,2100,0.654
FLK,SSP1,2025,0.781
FLK,SSP1,2030,0.792
FLK,SSP1,2050,0.831
FLK,SSP1,2100,0.94
