gid,alpha3,totalPopulation,fractionUrban
AFG.1.1_1,AFG,188933,0.848
AFG.1.2_1,AFG,131097,0.748
AFG.1.3_1,AFG,553971,0.913
AFG.1.4_1,AFG,31165,0.412
AFG.1.5_1,AFG,208944,0.818
AFG.1.6_1,AFG,79963,0.845
AFG.1.7_1,AFG,285228,0.798
AFG.1.8_1,AFG,22341,0.257
AFG.1.9_1,AFG,170496,0.707
AFG.1.10_1,AFG,95540,0.867
AFG.1.11_1,AFG,95535,0.625
AFG.1.12_1,AFG,30492,0.0
AFG.1.13_1,AFG,10424,0.679
AFG.2.1_1,AFG,28980,0.952
AFG.2.2_1,AFG,115947,0.826
AFG.2.3_1,AFG,167181,0.791
AFG.2.4_1,AFG,25257,0.0
AFG.2.5_1,AFG,204921,0.818
AFG.2.6_1,AFG,214381,0.861
AFG.2.7_1,AFG,281503,0.946
AFG.3.1_1,AFG,129230,0.834
AFG.3.2_1,AFG,233258,0.94
AFG.3.3_1,AFG,25295,0.464
AFG.3.4_1,AFG,80134,0.961
AFG.3.5_1,AFG,16927,0.395
AFG.3.6_1,AFG,101085,0.785
AFG.3.7_1,AFG,102070,0.684
AFG.3.8_1,AFG,48199,0.641
AFG.3.9_1,AFG,136962,0.842
AFG.3.10_1,AFG,141985,0.917
AFG.3.11_1,AFG,394603,0.969
AFG.3.12_1,AFG,45472,0.858
AFG.4.1_1,AFG,187986,0.823
AFG.4.2_1,AFG,120797,0.621
AFG.4.3_1,AFG,60217,0.721
AFG.4.4_1,AFG,86417,0.903
AFG.4.5_1,AFG,149996,0.683
AFG.4.6_1,AFG,115362,0.865
AFG.4.7_1,AFG,27966,0.553
AFG.4.8_1,AFG,114960,0.725
AFG.4.9_1,AFG,101329,0.856
AFG.4.10_1,AFG,227,0.0
AFG.4.11_1,AFG,689397,0.998
AFG.4.12_1,AFG,90015,0.869
AFG.4.13_1,AFG,189804,0.924
AFG.4.14_1,AFG,54642,0.686
AFG.5.1_1,AFG,139690,0.809
AFG.5.2_1,AFG,113620,0.935
AFG.5.3_1,AFG,74387,0.782
AFG.5.4_1,AFG,197689,1.0
AFG.5.5_1,AFG,144684,0.686
AFG.6.1_1,AFG,393774,0.956
AFG.6.2_1,AFG,108620,0.887
AFG.6.3_1,AFG,100374,0.583
AFG.6.4_1,AFG,138549,0.913
AFG.7.1_1,AFG,54217,0.437
AFG.7.2_1,AFG,73758,0.636
AFG.7.3_1,AFG,124093,0.788
AFG.7.4_1,AFG,206562,0.916
AFG.7.5_1,AFG,72394,0.31
AFG.7.6_1,AFG,42400,0.701
AFG.7.7_1,AFG,53448,0.453
AFG.7.8_1,AFG,98348,0.803
AFG.7.9_1,AFG,98118,0.799
AFG.7.10_1,AFG,61564,0.256
AFG.7.11_1,AFG,41121,0.675
AFG.8.1_1,AFG,111019,0.934
AFG.8.2_1,AFG,104458,0.98
AFG.8.3_1,AFG,233149,0.975
AFG.8.4_1,AFG,88099,0.903
AFG.8.5_1,AFG,40781,0.845
AFG.8.6_1,AFG,341408,0.929
AFG.8.7_1,AFG,99244,0.838
AFG.8.8_1,AFG,58665,0.926
AFG.8.9_1,AFG,149721,0.968
AFG.8.10_1,AFG,90215,0.944
AFG.8.11_1,AFG,258113,0.929
AFG.8.12_1,AFG,186987,0.966
AFG.9.1_1,AFG,17615,0.388
AFG.9.2_1,AFG,23757,0.745
AFG.9.3_1,AFG,121324,0.306
AFG.9.4_1,AFG,32523,0.557
AFG.9.5_1,AFG,44529,0.398
AFG.9.6_1,AFG,138580,0.916
AFG.9.7_1,AFG,24108,0.0
AFG.9.8_1,AFG,176815,0.601
AFG.9.9_1,AFG,142434,0.797
AFG.9.10_1,AFG,62644,0.76
AFG.9.11_1,AFG,46739,0.864
AFG.9.12_1,AFG,51912,0.22
AFG.9.13_1,AFG,88721,0.615
AFG.9.14_1,AFG,131187,0.571
AFG.9.15_1,AFG,9970,0.0
AFG.10.1_1,AFG,366038,0.92
AFG.10.2_1,AFG,192843,0.947
AFG.10.3_1,AFG,169111,0.921
AFG.10.4_1,AFG,39236,0.81
AFG.10.5_1,AFG,191955,0.832
AFG.10.6_1,AFG,161944,0.84
AFG.10.7_1,AFG,112839,0.919
AFG.11.1_1,AFG,130679,0.704
AFG.11.2_1,AFG,25207,0.287
AFG.11.3_1,AFG,147637,0.745
AFG.11.4_1,AFG,109706,0.736
AFG.11.5_1,AFG,178125,0.967
AFG.11.6_1,AFG,87690,0.7
AFG.11.7_1,AFG,142874,0.765
AFG.11.8_1,AFG,187022,0.898
AFG.11.9_1,AFG,79662,0.713
AFG.11.10_1,AFG,155573,0.816
AFG.11.11_1,AFG,40516,0.545
AFG.11.12_1,AFG,110196,0.782
AFG.11.13_1,AFG,47000,0.921
AFG.12.1_1,AFG,113406,0.633
AFG.12.2_1,AFG,47740,0.878
AFG.12.3_1,AFG,59557,1.0
AFG.12.4_1,AFG,178677,0.885
AFG.12.5_1,AFG,185823,0.716
AFG.12.6_1,AFG,290156,0.894
AFG.12.7_1,AFG,682704,1.0
AFG.12.8_1,AFG,927285,0.95
AFG.12.9_1,AFG,128237,0.694
AFG.12.10_1,AFG,114343,0.827
AFG.12.11_1,AFG,252084,0.948
AFG.12.12_1,AFG,75544,0.705
AFG.12.13_1,AFG,140282,0.868
AFG.12.14_1,AFG,213740,0.913
AFG.12.15_1,AFG,379327,0.923
AFG.12.16_1,AFG,97815,0.677
AFG.13.1_1,AFG,139439,0.852
AFG.13.2_1,AFG,97683,0.923
AFG.13.3_1,AFG,50638,0.347
AFG.13.4_1,AFG,18910,0.816
AFG.13.5_1,AFG,26432,0.864
AFG.13.6_1,AFG,54207,0.678
AFG.13.7_1,AFG,50439,0.353
AFG.13.8_1,AFG,34066,0.838
AFG.13.9_1,AFG,259765,0.867
AFG.14.1_1,AFG,761568,0.985
AFG.14.2_1,AFG,105471,0.967
AFG.14.3_1,AFG,1218046,0.986
AFG.14.4_1,AFG,43817,0.98
AFG.14.5_1,AFG,54888,0.981
AFG.14.6_1,AFG,4009571,1.0
AFG.14.7_1,AFG,46112,0.997
AFG.14.8_1,AFG,25845,0.686
AFG.14.9_1,AFG,88450,0.982
AFG.14.10_1,AFG,51766,0.955
AFG.14.11_1,AFG,323359,0.979
AFG.14.12_1,AFG,124562,0.982
AFG.14.13_1,AFG,198331,0.94
AFG.14.14_1,AFG,96702,0.675
AFG.15.1_1,AFG,30000,0.622
AFG.15.2_1,AFG,56156,0.261
AFG.15.3_1,AFG,206216,0.942
