name,alpha3,totalPopulation,fractionUrban,year,fractionUnderFive
Aruba,ABW,107864,0.955,2030,0.047
Aruba,ABW,100002,0.946,2050,0.048
Aruba,ABW,82911,0.927,2100,0.046
Afghanistan,AFG,50039402,0.841,2030,0.148
Afghanistan,AFG,76885134,0.86,2050,0.113
Afghanistan,AFG,143212960,0.914,2100,0.033
Angola,AGO,45160458,0.766,2030,0.158
Angola,AGO,74295394,0.787,2050,0.127
Angola,AGO,145360064,0.84,2100,0.061
Anguilla,AIA,14977,0.0,2030,0.046
Anguilla,AIA,14552,0.0,2050,0.037
Anguilla,AIA,14031,0.0,2100,0.018
Albania,ALB,2671885,0.698,2030,0.045
Albania,ALB,2240166,0.727,2050,0.035
Albania,ALB,1173526,0.801,2100,0.003
Andorra,AND,85682,0.756,2030,0.035
Andorra,AND,82195,0.75,2050,0.029
Andorra,AND,79039,0.747,2100,0.024
United Arab Emirates,ARE,12190605,0.917,2030,0.057
United Arab Emirates,ARE,15367392,0.931,2050,0.061
United Arab Emirates,ARE,23386172,0.968,2100,0.079
Argentina,ARG,46585022,0.866,2030,0.055
Argentina,ARG,48308944,0.875,2050,0.049
Argentina,ARG,53079951,0.899,2100,0.029
Armenia,ARM,2851291,0.772,2030,0.053
Armenia,ARM,2495207,0.789,2050,0.049
Armenia,ARM,1586631,0.822,2100,0.028
American Samoa,ASM,42958,0.752,2030,0.067
American Samoa,ASM,37545,0.637,2050,0.07
American Samoa,ASM,21396,0.385,2100,0.051
Antigua and Barbuda,ATG,96000,0.762,2030,0.055
Antigua and Barbuda,ATG,95055,0.772,2050,0.044
Antigua and Barbuda,ATG,95783,0.795,2100,0.017
Australia,AUS,28188539,0.816,2030,0.055
Australia,AUS,32506969,0.821,2050,0.052
Australia,AUS,43508614,0.828,2100,0.044
Austria,AUT,9080346,0.595,2030,0.041
Austria,AUT,8724332,0.609,2050,0.041
Austria,AUT,7919288,0.643,2100,0.032
Azerbaijan,AZE,10665380,0.792,2030,0.056
Azerbaijan,AZE,11224923,0.797,2050,0.053
Azerbaijan,AZE,12818495,0.81,2100,0.032
Burundi,BDI,16182016,0.915,2030,0.143
Burundi,BDI,24131720,0.953,2050,0.116
Burundi,BDI,43708209,1.0,2100,0.048
Belgium,BEL,11824141,0.795,2030,0.043
Belgium,BEL,11870906,0.8,2050,0.045
Belgium,BEL,12069871,0.814,2100,0.041
Benin,BEN,16618822,0.761,2030,0.142
Benin,BEN,24433809,0.814,2050,0.116
Benin,BEN,43743643,0.956,2100,0.054
"Bonaire, Sint Eustatius and Saba",BES,33510,0.66,2030,0.048
"Bonaire, Sint Eustatius and Saba",BES,34742,0.665,2050,0.043
"Bonaire, Sint Eustatius and Saba",BES,40662,0.696,2100,0.031
Burkina Faso,BFA,26730324,0.54,2030,0.132
Burkina Faso,BFA,37304383,0.627,2050,0.103
Burkina Faso,BFA,63758166,0.846,2100,0.03
Bangladesh,BGD,186072407,0.981,2030,0.088
Bangladesh,BGD,214709097,0.983,2050,0.063
Bangladesh,BGD,291217141,0.988,2100,0.002
Bulgaria,BGR,6458243,0.618,2030,0.044
Bulgaria,BGR,5402217,0.66,2050,0.045
Bulgaria,BGR,2773869,0.763,2100,0.044
Bahrain,BHR,1765209,0.981,2030,0.06
Bahrain,BHR,2139464,0.987,2050,0.058
Bahrain,BHR,3118246,1.0,2100,0.058
Bahamas,BHS,410266,0.83,2030,0.052
Bahamas,BHS,424265,0.844,2050,0.046
Bahamas,BHS,464951,0.88,2100,0.03
