name,alpha3,totalPopulation,fractionUrban,fractionUnderFive
Burundi,BDI,14390002,0.892,0.151
Comoros,COM,882848,0.876,0.129
Djibouti,DJI,1184076,0.894,0.097
Eritrea,ERI,3607003,0.641,0.128
Ethiopia,ETH,135472051,0.668,0.141
Kenya,KEN,57532492,0.771,0.122
Madagascar,MDG,32740678,0.449,0.14
Malawi,MWI,22216120,0.706,0.139
Mauritius,MUS,1268280,0.909,0.048
Mayotte,MYT,337011,0.941,0.148
Mozambique,MOZ,35631653,0.536,0.159
Réunion,REU,882406,0.884,0.066
Rwanda,RWA,14569340,0.941,0.129
Seychelles,SYC,132779,0.801,0.067
Somalia,SOM,19654739,0.826,0.174
South Sudan,SSD,12188788,0.654,0.122
Uganda,UGA,51384894,0.767,0.154
United Republic of Tanzania,TZA,70545865,0.588,0.153
Zambia,ZMB,21913874,0.55,0.144
Zimbabwe,ZWE,16950795,0.347,0.136
Angola,AGO,39040039,0.76,0.159
Cameroon,CMR,29879337,0.758,0.147
Central African Republic,CAF,5513282,0.555,0.171
Chad,TCD,21003705,0.523,0.169
Congo,COG,6484437,0.919,0.137
Democratic Republic of the Congo,COD,112832473,0.737,0.171
Equatorial Guinea,GNQ,1938431,0.901,0.13
Gabon,GAB,2593130,0.836,0.128
Sao Tome and Principe,STP,240254,0.842,0.128
Algeria,DZA,47435312,0.81,0.1
Egypt,EGY,118365994,0.975,0.1
Libya,LBY,7458554,0.759,0.086
Morocco,MAR,38430770,0.782,0.083
Sudan,SDN,51662148,0.746,0.148
Tunisia,TUN,12348573,0.715,0.073
Western Sahara,ESH,600904,0.891,0.075
Botswana,BWA,2562122,0.705,0.115
Eswatini,SWZ,1256174,0.245,0.113
Lesotho,LSO,2363325,0.402,0.113
Namibia,NAM,3092816,0.438,0.132
South Africa,ZAF,64747319,0.795,0.091
Benin,BEN,14814460,0.741,0.147
Burkina Faso,BFA,24074580,0.517,0.139
Cabo Verde,CPV,527326,0.73,0.074
Côte d'Ivoire,CIV,32711547,0.689,0.14
Gambia,GMB,2822093,0.758,0.136
Ghana,GHA,35064272,0.778,0.121
Guinea,GIN,15099727,0.555,0.145
Guinea-Bissau,GNB,2249515,0.543,0.132
Liberia,LBR,5731206,0.591,0.135
Mali,MLI,25198821,0.493,0.165
Mauritania,MRT,5315065,0.61,0.15
Niger,NER,27917831,0.518,0.167
Nigeria,NGA,237527782,0.818,0.141
Saint Helena,SHN,5197,0.0,0.039
Senegal,SEN,18931966,0.716,0.129
Sierra Leone,SLE,8819794,0.577,0.132
Togo,TGO,9721608,0.734,0.138
Kazakhstan,KAZ,20843754,0.776,0.102
Kyrgyzstan,KGZ,7295034,0.769,0.108
Tajikistan,TJK,10786734,0.845,0.124
Turkmenistan,TKM,7618848,0.783,0.106
