name,iso,alpha3,totalPopulation,fractionUrban
Burundi,108,BDI,11216000,0.13031788132608801
Comoros,174,COM,832000,0.2896532335672502
Djibouti,262,DJI,971000,0.7777710292688551
Eritrea,232,ERI,5187000,0.4007970010493551
Ethiopia,231,ETH,107534000,0.20763280327959074
Kenya,404,KEN,50950000,0.2702957293435507
Madagascar,450,MDG,26262000,0.3719055577068867
Malawi,454,MWI,19164000,0.16937015751019266
Mauritius,480,MUS,1268000,0.4079325719557049
Mayotte,175,MYT,259000,0.4614759590576166
Mozambique,508,MOZ,30528000,0.35987872777830865
Réunion,638,REU,883000,0.9956433477838025
Rwanda,646,RWA,12501000,0.17210864339265905
Seychelles,690,SYC,95000,0.5669029243450412
Somalia,706,SOM,15181000,0.4497068059551078
South Sudan,728,SSD,12919000,0.19614936172179182
Uganda,800,UGA,44270000,0.23774450304596306
United Republic of Tanzania,834,TZA,59091000,0.33775723205166663
Zambia,894,ZMB,17609000,0.4352092414535193
Zimbabwe,716,ZWE,16913000,0.3220853151855222
Angola,24,AGO,30774000,0.6551440727713356
Cameroon,120,CMR,24678000,0.563740987300793
Central African Republic,140,CAF,4737000,0.41363986285370763
Chad,148,TCD,15353000,0.23058923803687886
Congo,178,COG,5399000,0.6691611596151407
Democratic Republic of the Congo,180,COD,84004000,0.4446038198993157
Equatorial Guinea,226,GNQ,1313000,0.7214288215031046
Gabon,266,GAB,2067000,0.8936984205060938
Sao Tome and Principe,678,STP,208000,0.72803110842935
Algeria,12,DZA,42008000,0.7262896776889499
Egypt,818,EGY,99375000,0.4270411327046105
Libya,434,LBY,6470000,0.8010196638641957
Morocco,504,MAR,36191000,0.6245265468246195
Sudan,729,SDN,41511000,0.3464150414513791
Tunisia,788,TUN,11659000,0.6894507278131367
Western Sahara,732,ESH,567000,0.8668572365139816
Botswana,72,BWA,2333000,0.694464814647345
Lesotho,426,LSO,2263000,0.28152814172274976
Namibia,516,NAM,2587000,0.5003247931351754
South Africa,710,ZAF,57398000,0.6635508144030652
Swaziland,748,SWZ,1391000,0.2379923601303737
Benin,204,BEN,11485000,0.4731222564735861
Burkina Faso,854,BFA,19751000,0.2935840654535664
Cabo Verde,132,CPV,553000,0.6573142851979361
Côte d'Ivoire,384,CIV,24905000,0.5077852614745865
Gambia,270,GMB,2163000,0.6126959258514673
Ghana,288,GHA,29463000,0.5605966648455523
Guinea,324,GIN,13052000,0.3613968181684458
Guinea-Bissau,624,GNB,1907000,0.43360136068974053
Liberia,430,LBR,4853000,0.5115141270781841
Mali,466,MLI,19107000,0.4235631425352683
Mauritania,478,MRT,4540000,0.53671971433027
Niger,562,NER,22311000,0.16425218078222434
Nigeria,566,NGA,195875000,0.5034367922679273
Saint Helena,654,SHN,4000,0.3981345115365734
Senegal,686,SEN,16294000,0.47192301342741955
Sierra Leone,694,SLE,7719000,0.42054610984401136
Togo,768,TGO,7990000,0.4170165009662209
China,156,CHN,1415045000,0.5915158500777651
"China, Hong Kong SAR",344,HKG,7428000,1.0
"China, Macao SAR",446,MAC,632000,1.0
"China, Taiwan Province of China",158,TWN,23694000,0.7815574171262715
Dem. People's Republic of Korea,408,PRK,25610000,0.618992582467184
Japan,392,JPN,127185000,0.9161553708095836
Mongolia,496,MNG,3121000,0.6844542138247124
Republic of Korea,410,KOR,51164000,0.8145936918877342
Kazakhstan,398,KAZ,18403000,0.5742806128714302
Kyrgyzstan,417,KGZ,6132000,0.36350786214489256
Tajikistan,762,TJK,9107000,0.27134377363168594
Turkmenistan,795,TKM,5851000,0.5159334430038558
Uzbekistan,860,UZB,32364000,0.504780596914024
Afghanistan,4,AFG,36373000,0.25494892169988126
Bangladesh,50,BGD,166368000,0.36632159079921006
Bhutan,64,BTN,817000,0.4089546100992101
India,356,IND,1354051000,0.34029698540629155
Iran (Islamic Republic of),364,IRN,82011000,0.7489788504047623
Maldives,462,MDV,444000,0.398080849234343
Nepal,524,NPL,29624000,0.19739616834776222
Pakistan,586,PAK,200813000,0.3666601767414232
Sri Lanka,144,LKA,20950000,0.18475581980961278
Brunei Darussalam,96,BRN,434000,0.7762926307835496
Cambodia,116,KHM,16245000,0.23387814729643716
Indonesia,360,IDN,266794000,0.553245064805942
Lao People's Democratic Republic,418,LAO,6961000,0.350041300291185
Malaysia,458,MYS,32042000,0.7603577103853895
Myanmar,104,MMR,53855000,0.3057865796465316
Philippines,608,PHL,106512000,0.4690733747236957
Singapore,702,SGP,5791000,1.0
Thailand,764,THA,69183000,0.4994867465821494
Timor-Leste,626,TLS,1324000,0.30577889485187604
Viet Nam,704,VNM,96491000,0.35919317405557616
Armenia,51,ARM,2934000,0.6314863715308545
Azerbaijan,31,AZE,9923000,0.5568010766719662
Bahrain,48,BHR,1566000,0.8928731653555569
Cyprus,196,CYP,1189000,0.6681044668799959
Georgia,268,GEO,3907000,0.5863217793311767
Iraq,368,IRQ,39339000,0.704727530953232
Israel,376,ISR,8452000,0.9241767353721665
Jordan,400,JOR,9903000,0.9097892910217712
Kuwait,414,KWT,4197000,1.0
Lebanon,422,LBN,6093000,0.885928124501006
Oman,512,OMN,4829000,0.8453937166171216
Qatar,634,QAT,2694000,0.9913527622512429
Saudi Arabia,682,SAU,33554000,0.8384350723243188
State of Palestine,275,PSE,5052000,0.761644687989335
Syrian Arab Republic,760,SYR,18284000,0.5416219951787334
Turkey,792,TUR,81916000,0.751428701420981
United Arab Emirates,784,ARE,9541000,0.8652249121348955
Yemen,887,YEM,28915000,0.3664242066583196
Belarus,112,BLR,9452000,0.7859481789944747
Bulgaria,100,BGR,7036000,0.7500808600668936
Czechia,203,CZE,10625000,0.737919578362862
Hungary,348,HUN,9688000,0.7135071902776461
Poland,616,POL,38104000,0.6005773493503396
